County,damage,TNDI,TNDA,GDP,POP,MHI,poverty pop,wind,precipitation
Harvey-TX-Aransas,74694232.22,39,10,564667,25447,46970,4544,53,15.1
Harvey-TX-Austin,1733484.08,1,0,1305153,29757,61111,3153,22,16.07
Harvey-TX-Bastrop,1900701.17,5,8,1868447,84809,62992,9462,26,15.77
Harvey-TX-Bee,1653640.79,3,6,793142,32599,41392,6597,39,0.46
Harvey-TX-Brazoria,81909858.52,47,50,14258470,362700,80840,31735,28.9,18.59
Harvey-TX-Burleson,172224.26,,,478404,18068,47409,2946,22,16.07
Harvey-TX-Caldwell,1436987.08,2,9,733661,42425,51895,5892,35.9,10.12
Harvey-TX-Calhoun,8594021.58,3,0,2006857,21770,55240,3497,53,15.1
Harvey-TX-Chambers,27234331.31,3,10,2080885,41399,81018,3914,34,26.33
Harvey-TX-Colorado,2780545.7,0,3,744355,21228,49100,3101,20,21.44
Harvey-TX-Comal,352918.98,17,7,5078011,140790,72562,12473,35.9,8.1
Harvey-TX-Dade,0,,,,,,,,
Harvey-TX-DeWitt,2172146.59,10,3,975114,20208,47657,3445,36.9,12.67
Harvey-TX-Evangeline,500,,,,,,,,
Harvey-TX-Fayette,5725652.92,2,7,1352488,25176,56320,2675,20,21.44
Harvey-TX-Fort Bend,119622409,171,202,21303455,766136,91661,60772,38.1,26.87
Harvey-TX-Galveston,133508261.6,129,107,12827068,334304,69674,39606,35,23.12
Harvey-TX-Goliad,853033.89,,,293462,7548,52403,1136,36.9,12.67
Harvey-TX-Gonzales,1546809.01,7,0,721808,20796,45052,3420,35.9,8.1
Harvey-TX-Grimes,869628.19,0,0,1081576,27977,48023,4528,15.9,19.74
Harvey-TX-Guadalupe,526604.48,11,4,8433994,159841,66886,14624,35.9,8.1
Harvey-TX-Hardin,45619705.87,1,3,1152151,57159,58829,7175,29.9,26.33
Harvey-TX-Harris,1131312177,1873,1618,395784448,4664159,58664,733605,19,31.41
Harvey-TX-Jackson,2648209.89,1,0,560285,14818,49350,2316,42.9,12.52
Harvey-TX-Jasper,5761698.19,0,1,899647,35550,43368,6898,21,14.79
Harvey-TX-Jefferson,219501088.8,140,110,23039857,256591,47852,44734,29.9,26.33
Harvey-TX-Jim Wells,135235.05,5,2,2263502,40930,40681,9579,28.9,0.46
Harvey-TX-Karnes,375076.67,0,0,738152,15516,48708,2700,25.1,1.63
Harvey-TX-Kleberg,533701.45,0,3,1233110,31152,41257,7504,31.1,2.28
Harvey-TX-Lavaca,525473.06,0,2,642853,20019,51191,2365,36.9,12.67
Harvey-TX-Lee,416799.57,3,3,753284,17139,54164,2124,26,15.77
Harvey-TX-Liberty,32955064.99,8,6,1617455,83809,50420,12132,31.1,31.41
Harvey-TX-Madison,184587.85,1,0,453137,14255,42058,2136,15.9,19.74
Harvey-TX-Matagorda,8734110.55,9,1,1919337,36811,46801,6540,31.1,17.7
Harvey-TX-Milam,105718.68,1,1,986690,24985,44855,4744,21,5.49
Harvey-TX-Montgomery,45455743.09,97,68,23451266,572146,77149,50397,19,22.18
Harvey-TX-Newton,7893099.29,1,1,438079,13930,41736,2739,21,14.79
Harvey-TX-Nueces,40271474.22,52,37,20594204,361014,51910,57008,39,0.46
Harvey-TX-Orange,163315621.2,73,63,3110379,84936,57257,11526,26,30
Harvey-TX-Polk,3765543.9,1,1,900153,49016,44596,8060,19,12.38
Harvey-TX-Refugio,19117125.36,6,0,273381,7199,42898,1198,53,15.1
Harvey-TX-Sabine,577363.17,,,206619,10441,37770,2093,21,6.42
Harvey-TX-San Augustine,106647.51,0,1,135528,8292,39133,1735,18.1,6.42
Harvey-TX-San Jacinto,8213768.25,1,6,265998,28242,44707,5094,19,22.18
Harvey-TX-San Patricio,39425398.8,7,0,2363122,67223,50752,12613,44.1,4.23
Harvey-TX-Travis,492563.51,303,168,95123056,1227771,72785,139071,18.1,8.01
Harvey-TX-Tyler,2718769.34,,,292691,21523,43394,3813,21,12.38
Harvey-TX-Victoria,30427825.84,34,13,5012556,92103,52161,14191,36.9,12.67
Harvey-TX-Walker,3757101.73,6,6,1910556,72383,42304,12775,15.9,19.74
Harvey-TX-Waller,6150575.31,5,12,1857697,51285,55224,7315,21,27.01
Harvey-TX-Washington,369220.06,4,0,2026618,34897,51276,4248,22,16.07
Harvey-TX-Wharton,19841463.84,3,1,1574390,41916,46194,6627,31.1,17.7
