County,damage,TNDI,TNDA,GDP,POP,MHI,poverty pop,wind,precipitation
Irma-FL-,0,,,,,,,,
Irma-FL-Alachua,9306765,35,16,11912080,266820,45230,53816,35,18.25
Irma-FL-Anasco,0,,,,,,,,
Irma-FL-Baker,1360525.84,0,1,472948,28230,51856,3900,24.1,0
Irma-FL-Bay,70827.68,10,10,7920348,184046,51633,26663,24.1,0.95
Irma-FL-Berrien,0,,,,,,,,
Irma-FL-Blanco,500,,,,,,,,
Irma-FL-Bradford,3246248.07,0,0,532487,27133,44997,4533,15.9,0
Irma-FL-Brevard,31928910.59,41,21,20453753,588265,52596,72303,27,6.82
Irma-FL-Broward,132955108.8,149,103,96591919,1934471,56702,252288,40,3.35
Irma-FL-Bulloch,0,,,,,,,,
Irma-FL-Burnet,0,,,,,,,,
Irma-FL-Calhoun,57322.59,0,0,192386,14437,37612,2650,28.9,3.33
Irma-FL-Charlotte,6625988.33,13,4,3966314,181537,51583,19300,44.1,1.69
Irma-FL-Chatham,500,,,,,,,,
Irma-FL-Cherokee,0,,,,,,,,
Irma-FL-Citrus,5568338.59,9,3,3335110,145512,43147,20654,20,0
Irma-FL-Clay,12195897.65,7,2,3976007,212177,65375,20889,15.9,0
Irma-FL-Collier,61941331.1,14,7,16124953,372345,66709,43075,60,4.79
Irma-FL-Columbia,3225476.29,1,0,1826541,69825,42097,10720,35,18.25
Irma-FL-DeSoto,4049290.29,1,0,735286,37252,37342,8766,44.1,1.69
Irma-FL-Dixie,907905.74,2,1,178261,16636,38355,3627,35.9,4.39
Irma-FL-Dougherty,0,,,,,,,,
Irma-FL-Duval,47409375.6,110,46,60146765,937642,52105,138069,42.9,9.21
Irma-FL-Fajardo,0,,,,,,,,
Irma-FL-Flagler,7243310.27,8,7,1809151,109937,52713,13137,17.1,0
Irma-FL-Franklin,51937.62,0,0,323452,11752,40158,2141,22.9,1.68
Irma-FL-Gadsden,168731.61,0,0,994334,45972,38084,9994,29.9,3.4
Irma-FL-Gilchrist,641836.8,1,0,254260,17865,42880,2675,35.9,4.39
Irma-FL-Glades,1684916.42,0,0,171573,13608,42865,2312,0,9.96
Irma-FL-Guayama,0,,,,,,,,
Irma-FL-Gulf,115095.15,1,1,342650,16122,44135,2810,27,2.28
Irma-FL-Hamilton,779650.49,3,1,377309,14389,35262,2791,20,2.65
Irma-FL-Hardee,6791780.7,3,0,893349,27202,40056,6026,54,2.63
Irma-FL-Hendry,4864094.83,0,0,1241872,41144,38361,9525,63.9,12.61
Irma-FL-Hernando,6987438.84,9,1,3031267,186784,44710,25773,33,13.18
Irma-FL-Highlands,11041809.99,4,1,2088782,104060,37445,20051,54,2.63
