County,damage,TNDI,TNDA,GDP,POP,MHI,poverty pop,wind,precipitation
Michael-FL-Bacon,0,,,,,,,,
Michael-FL-Bay,99405372.61,128,69,7920348,185287,51633,26663,55,3.57
Michael-FL-Calhoun,9235355.01,2,1,192386,14587,37612,2650,55,3.57
Michael-FL-Franklin,1836802.44,15,5,323452,11736,40158,2141,55,3.57
Michael-FL-Gadsden,3846965.68,4,3,994334,45894,38084,9994,35.9,3.34
Michael-FL-Gulf,11413879.95,10,2,342650,16164,44135,2810,55,3.57
Michael-FL-Holmes,499366.25,,,239659,19477,40657,3756,24.1,2.48
Michael-FL-Jackson,14569674.93,7,5,1078697,48305,41524,7264,35.9,3.34
Michael-FL-Jefferson,0,0,2,201589,14288,48163,2276,35.9,3.34
Michael-FL-Leon,923691.97,82,34,13400767,292502,51716,50010,35.9,3.34
Michael-FL-Liberty,1219315.79,1,1,147685,8457,41308,1449,35.9,3.34
Michael-FL-Taylor,94928.26,0,1,701097,21623,41557,4556,24.1,1.25
Michael-FL-Wakulla,1420017.6,5,0,545682,32461,55717,3746,35.9,3.34
Michael-FL-Washington,2517650.36,1,0,400360,24880,36052,4646,27,2.18
Michael-GA-Appling,0,0,1,1441442,18507,40862,4003,14.7,0.95
Michael-GA-Baker,412217.58,,,68383,3092,37286,783,18.7,4.98
Michael-GA-Ben Hill,0,,,472255,16787,32370,4082,11.6,0.95
Michael-GA-Berrien,19951.65,,,357317,19252,38239,3515,14.8,2.02
Michael-GA-Burke,6744.18,,,2013643,22423,41863,5121,13.3,3.87
Michael-GA-Calhoun,255383.06,,,93093,6352,33889,1662,18.7,4.98
Michael-GA-Clay,195033.65,,,65321,2887,29122,960,18.7,4.98
Michael-GA-Crisp,516384.25,0,1,663463,22601,34754,6605,18.7,2.07
Michael-GA-Decatur,1657746.15,2,0,732456,26575,37835,5607,12.6,3.76
Michael-GA-Dougherty,1607232.74,5,6,4014892,91243,36994,24373,18.7,2.07
Michael-GA-Early,953440.5,1,1,548922,10247,32490,2707,18.7,4.98
Michael-GA-Emanuel,0,1,0,574336,22612,33551,5890,14.9,3.87
Michael-GA-Grady,375465,1,0,547740,24748,41095,4986,14.6,4.98
Michael-GA-Jenkins,19192.2,,,128588,8683,32472,2474,10,3.87
Michael-GA-Laurens,176962.35,1,0,1675097,47325,38078,10457,18.7,5.22
Michael-GA-Lee,577737.98,1,3,444211,29764,68891,3121,18.7,2.07
Michael-GA-Miller,825792.75,,,166534,5686,37878,1356,18.7,4.98
Michael-GA-Mitchell,866692.34,3,0,686994,22192,36234,5488,13.9,3.87
Michael-GA-Montgomery,0,,,118686,9193,41858,1707,14.9,0.95
Michael-GA-Peach,0,0,1,829085,27297,46608,5091,17.1,5.22
Michael-GA-Randolph,377471.19,1,1,164959,6833,30847,2232,18.7,4.98
Michael-GA-Seminole,1873514.32,3,0,218816,8315,35527,2385,18.7,4.98
Michael-GA-Sumter,129270.82,,,946673,29733,36611,7169,18.7,2.07
Michael-GA-Terrell,303489.6,,,205414,8611,33939,2789,18.7,2.07
Michael-GA-Thomas,251147.68,3,0,2210695,44448,43257,7862,14.6,1.76
Michael-GA-Tift,171429.72,2,5,1827658,40571,41544,8468,14.6,2.02
Michael-GA-Toombs,0,2,2,929404,26887,35226,5934,14.9,0.95
Michael-GA-Turner,201462.08,1,0,177263,7912,33310,2104,18.7,2.07
Michael-GA-Wilcox,0,,,124623,8812,35015,2097,17.1,5.22
Michael-GA-Wilkinson,3805.65,,,349476,9036,40906,2074,18.7,5.22
Michael-GA-Worth,721378.25,0,0,325163,20299,42913,4383,18.7,2.07
