date,Acadia,Allen,Ascension,Assumption,Avoyelles,Beauregard,Bienville,Bossier,Caddo,Calcasieu,Caldwell,Cameron,Catahoula,Claiborne,Concordia,De Soto,East Baton Rouge,East Carroll,East Feliciana,Evangeline,Franklin,Grant,Iberia,Iberville,Jackson,Jefferson,Jefferson Davis,LaSalle,Lafayette,Lafourche,Lincoln,Livingston,Madison,Morehouse,Natchitoches,Orleans,Ouachita,Plaquemines,Pointe Coupee,Rapides,Red River,Richland,Sabine,St. Bernard,St. Charles,St. Helena,St. James,St. John the Baptist,St. Landry,St. Martin,St. Mary,St. Tammany,Tangipahoa,Tensas,Terrebonne,Union,Vermilion,Vernon,Washington,Webster,West Baton Rouge,West Carroll,West Feliciana,Winn
2017-08-17,14.0,13.0,7.0,7.0,19.0,6.0,12.0,12.0,15.9,11.1,15.0,11.1,19.0,12.0,19.0,15.9,11.1,14.0,11.1,13.0,15.0,11.1,8.0,7.0,12.0,18.1,11.1,8.0,14.0,8.0,12.0,7.0,14.0,14.0,14.0,11.1,15.0,8.0,11.1,11.1,14.0,15.0,14.0,18.1,6.0,11.1,7.0,9.9,14.0,8.0,9.9,7.0,8.9,15.0,8.0,12.0,9.9,6.0,8.9,17.1,11.1,14.0,11.1,14.0
2017-08-18,8.0,6.0,7.0,7.0,9.9,4.1,8.0,11.1,11.1,9.9,9.9,9.9,9.9,8.0,9.9,11.1,8.9,8.9,8.9,6.0,9.9,8.9,8.0,7.0,8.0,9.9,9.9,8.0,8.0,8.0,8.0,7.0,8.9,8.9,7.0,13.0,9.9,8.9,8.9,8.9,7.0,9.9,7.0,9.9,7.0,8.9,7.0,9.9,8.0,8.0,18.1,8.0,8.0,9.9,6.0,8.0,7.0,4.1,8.0,9.9,8.9,8.9,8.9,7.0
2017-08-19,8.0,6.0,21.0,21.0,7.0,4.1,6.0,8.9,8.9,8.0,8.0,8.0,7.0,6.0,7.0,8.9,22.0,8.0,22.0,6.0,8.0,6.0,8.0,21.0,6.0,8.9,8.0,8.0,8.0,8.9,6.0,21.0,8.0,8.0,6.0,21.0,8.0,8.9,22.0,6.0,6.0,8.0,6.0,21.0,6.0,22.0,21.0,12.0,8.0,8.0,21.0,13.0,8.0,8.0,8.0,6.0,8.0,4.1,8.0,11.1,22.0,8.0,22.0,6.0
2017-08-20,11.1,7.0,7.0,7.0,8.0,5.1,5.1,12.0,13.0,19.0,7.0,19.0,8.0,5.1,8.0,13.0,7.0,6.0,7.0,7.0,7.0,12.0,24.1,7.0,5.1,8.9,19.0,24.1,11.1,8.9,5.1,7.0,6.0,6.0,11.1,12.0,7.0,7.0,7.0,12.0,11.1,7.0,11.1,8.9,6.0,7.0,7.0,8.0,11.1,24.1,11.1,7.0,5.1,7.0,6.0,5.1,15.0,5.1,5.1,25.1,7.0,6.0,7.0,11.1
2017-08-21,7.0,5.1,8.9,8.9,6.0,2.9,6.0,7.0,6.0,12.0,18.1,12.0,6.0,6.0,6.0,6.0,8.9,6.0,8.9,5.1,18.1,7.0,11.1,8.9,6.0,9.9,12.0,11.1,7.0,7.0,6.0,8.9,6.0,6.0,9.9,22.9,18.1,8.9,8.9,7.0,9.9,18.1,9.9,13.0,7.0,8.9,8.9,11.1,7.0,11.1,11.1,15.0,13.0,18.1,8.0,6.0,6.0,2.9,13.0,7.0,8.9,6.0,8.9,9.9
2017-08-22,14.0,9.9,8.0,8.0,7.0,5.1,5.1,8.9,7.0,12.0,8.0,12.0,7.0,5.1,7.0,7.0,15.9,6.0,15.9,9.9,8.0,12.0,11.1,8.0,5.1,17.1,12.0,11.1,14.0,6.0,5.1,8.0,6.0,6.0,8.0,12.0,8.0,9.9,15.9,12.0,8.0,8.0,8.0,15.9,6.0,15.9,8.0,11.1,14.0,11.1,19.0,15.9,7.0,8.0,12.0,5.1,9.9,5.1,7.0,7.0,15.9,6.0,15.9,8.0
2017-08-23,7.0,11.1,6.0,6.0,8.9,6.0,8.9,8.9,15.9,8.0,12.0,8.0,8.9,8.9,8.9,15.9,7.0,7.0,7.0,11.1,12.0,7.0,7.0,6.0,8.9,9.9,8.0,7.0,7.0,6.0,8.9,6.0,7.0,7.0,11.1,14.0,12.0,6.0,7.0,7.0,11.1,12.0,11.1,8.9,6.0,7.0,6.0,8.0,7.0,7.0,7.0,8.0,5.1,12.0,8.0,8.9,7.0,6.0,5.1,15.0,7.0,7.0,7.0,11.1
2017-08-24,8.0,9.9,7.0,7.0,8.9,8.0,9.9,14.0,12.0,11.1,12.0,11.1,8.9,9.9,8.9,12.0,22.0,8.9,22.0,9.9,12.0,9.9,11.1,7.0,9.9,9.9,11.1,11.1,8.0,8.0,9.9,7.0,8.9,8.9,11.1,13.0,12.0,9.9,22.0,9.9,11.1,12.0,11.1,14.0,5.1,22.0,7.0,13.0,8.0,11.1,18.1,13.0,11.1,12.0,8.0,9.9,11.1,8.0,11.1,12.0,22.0,8.9,22.0,11.1
2017-08-25,6.0,5.1,7.0,7.0,6.0,4.1,6.0,9.9,11.1,12.0,8.0,12.0,6.0,6.0,6.0,11.1,11.1,6.0,11.1,5.1,8.0,7.0,11.1,7.0,6.0,11.1,12.0,11.1,6.0,8.0,6.0,7.0,6.0,6.0,8.9,15.0,8.0,8.0,11.1,7.0,8.9,8.0,8.9,15.9,5.1,11.1,7.0,11.1,6.0,11.1,9.9,6.0,6.0,8.0,9.9,6.0,8.0,4.1,6.0,6.0,11.1,6.0,11.1,8.9
2017-08-26,18.1,8.9,21.0,21.0,8.9,5.1,7.0,8.9,8.9,14.0,8.9,14.0,8.9,7.0,8.9,8.9,14.0,5.1,14.0,8.9,8.9,12.0,22.9,21.0,7.0,8.0,14.0,22.9,18.1,8.0,7.0,21.0,5.1,5.1,8.9,13.0,8.9,6.0,14.0,12.0,8.9,8.9,8.9,14.0,8.0,14.0,21.0,11.1,18.1,22.9,9.9,17.1,6.0,8.9,9.9,7.0,9.9,5.1,6.0,6.0,14.0,5.1,14.0,8.9
