date,Anderson County,Andrews County,Angelina County,Aransas County,Archer County,Armstrong County,Atascosa County,Austin County,Bailey County,Bandera County,Bastrop County,Baylor County,Bee County,Bell County,Bexar County,Blanco County,Borden County,Bosque County,Bowie County,Brazoria County,Brazos County,Brewster County,Briscoe County,Brooks County,Brown County,Burleson County,Burnet County,Caldwell County,Calhoun County,Callahan County,Cameron County,Camp County,Carson County,Cass County,Castro County,Chambers County,Cherokee County,Childress County,Clay County,Cochran County,Coke County,Coleman County,Collin County,Collingsworth County,Colorado County,Comal County,Comanche County,Concho County,Cooke County,Coryell County,Cottle County,Crane County,Crockett County,Crosby County,Culberson County,Dallam County,Dallas County,Dawson County,Deaf Smith County,Delta County,Denton County,DeWitt County,Dickens County,Dimmit County,Donley County,Duval County,Eastland County,Ector County,Edwards County,Ellis County,El Paso County,Erath County,Falls County,Fannin County,Fayette County,Fisher County,Floyd County,Foard County,Fort Bend County,Franklin County,Freestone County,Frio County,Gaines County,Galveston County,Garza County,Gillespie County,Glasscock County,Goliad County,Gonzales County,Gray County,Grayson County,Gregg County,Grimes County,Guadalupe County,Hale County,Hall County,Hamilton County,Hansford County,Hardeman County,Hardin County,Harris County,Harrison County,Hartley County,Haskell County,Hays County,Hemphill County,Henderson County,Hidalgo County,Hill County,Hockley County,Hood County,Hopkins County,Houston County,Howard County,Hudspeth County,Hunt County,Hutchinson County,Irion County,Jack County,Jackson County,Jasper County,Jeff Davis County,Jefferson County,Jim Hogg County,Jim Wells County,Johnson County,Jones County,Karnes County,Kaufman County,Kendall County,Kenedy County,Kent County,Kerr County,Kimble County,King County,Kinney County,Kleberg County,Knox County,Lamar County,Lamb County,Lampasas County,La Salle County,Lavaca County,Lee County,Leon County,Liberty County,Limestone County,Lipscomb County,Live Oak County,Llano County,Loving County,Lubbock County,Lynn County,McCulloch County,McLennan County,McMullen County,Madison County,Marion County,Martin County,Mason County,Matagorda County,Maverick County,Medina County,Menard County,Midland County,Milam County,Mills County,Mitchell County,Montague County,Montgomery County,Moore County,Morris County,Motley County,Nacogdoches County,Navarro County,Newton County,Nolan County,Nueces County,Ochiltree County,Oldham County,Orange County,Palo Pinto County,Panola County,Parker County,Parmer County,Pecos County,Polk County,Potter County,Presidio County,Rains County,Randall County,Reagan County,Real County,Red River County,Reeves County,Refugio County,Roberts County,Robertson County,Rockwall County,Runnels County,Rusk County,Sabine County,San Augustine County,San Jacinto County,San Patricio County,San Saba County,Schleicher County,Scurry County,Shackelford County,Shelby County,Sherman County,Smith County,Somervell County,Starr County,Stephens County,Sterling County,Stonewall County,Sutton County,Swisher County,Tarrant County,Taylor County,Terrell County,Terry County,Throckmorton County,Titus County,Tom Green County,Travis County,Trinity County,Tyler County,Upshur County,Upton County,Uvalde County,Val Verde County,Van Zandt County,Victoria County,Walker County,Waller County,Ward County,Washington County,Webb County,Wharton County,Wheeler County,Wichita County,Wilbarger County,Willacy County,Williamson County,Wilson County,Winkler County,Wise County,Wood County,Yoakum County,Young County,Zapata County,Zavala County
2017-08-17,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.4,0.04,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.27,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.4,0.0,0.4,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.29,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.4,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.02,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.4,0.0,0.01,0.0,0.0,,0.0,0.0,0.35,0.0,,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,,0.0,0.0,0.0,0.0,0.0,0.4,0.0,,0.0,0.03,0.0,,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-08-18,0.0,0.0,0.0,0.0,0.6,0.02,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,0.12,0.25,0.0,0.0,0.0,0.02,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.0,2.79,0.02,0.19,0.02,0.0,0.19,0.02,0.6,0.0,0.05,0.0,0.55,0.02,0.0,0.0,0.08,0.05,0.05,,0.0,0.0,0.05,0.0,0.0,0.25,0.01,0.0,0.02,0.25,0.0,0.0,0.0,0.0,0.02,0.0,0.08,0.0,0.0,0.0,0.0,0.57,,0.77,0.0,0.0,0.0,0.6,0.0,0.25,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,,0.19,0.0,0.0,0.0,0.02,,0.25,0.6,0.0,0.0,0.19,0.25,0.0,0.0,0.02,2.79,0.0,0.15,0.0,0.57,0.77,0.0,0.0,0.0,0.77,0.02,0.05,0.0,0.0,,0.09,0.0,0.0,,0.34,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,,0.0,0.0,,0.0,0.0,,0.02,,0.0,0.28,0.0,0.0,0.0,0.12,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.08,0.05,0.0,0.0,0.25,0.25,0.0,0.12,0.01,,0.0,,0.02,0.25,,0.0,0.19,0.0,0.0,0.0,0.0,0.02,0.09,0.77,0.02,0.0,0.0,0.25,0.28,0.0,0.02,0.0,0.36,0.0,0.19,0.12,0.12,0.0,0.0,0.0,0.05,0.0,0.0,0.12,0.25,2.79,0.57,0.0,0.0,0.05,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.25,0.05,0.0,0.0,0.0,2.79,0.0,0.0,0.0,2.79,0.0,0.0,0.0,0.28,0.0,0.0,0.0,0.02,0.6,0.6,0.0,,0.0,0.28,0.0,2.79,0.0,0.0,0.0,0.0
2017-08-19,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,,0.0,,0.0,,0.0,0.02,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.07,0.01,0.0,0.07,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.02,0.01,0.0,0.11,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.07,0.0,0.0,0.0,0.01,,0.0,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.78,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.02,0.0,0.0,0.0,0.0,0.0,0.02,,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,0.01,0.0,,0.05,0.07,0.05,0.0,0.03,0.0,0.01,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0
2017-08-20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,,0.01,,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.74,0.0,0.0,0.74,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08,0.0,,0.0,0.0,0.03,0.74,0.0,0.0,0.0,,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.03,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.03,0.0,0.0,0.01,0.0,0.74,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,0.74,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,,0.03,,0.0,0.0,,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.0,0.0,0.03,0.0,0.74,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.01,0.0,0.0
2017-08-21,0.0,0.0,0.0,0.0,0.04,0.17,0.0,0.0,0.04,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.04,0.17,0.85,0.04,0.17,0.04,0.04,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.0,,0.04,0.0,0.0,0.04,0.05,0.02,0.0,0.0,0.17,0.0,0.0,0.0,0.04,0.0,0.17,0.0,0.0,0.0,0.0,0.0,0.31,0.0,,0.0,0.0,0.0,0.04,0.04,0.0,0.0,,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.17,0.0,0.04,0.0,0.0,0.04,0.17,,0.02,0.04,0.85,0.0,0.04,0.02,0.0,0.0,0.17,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.05,0.0,0.17,0.0,0.0,0.0,,0.01,0.85,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,,0.0,0.0,,0.0,0.0,,0.17,,0.0,1.14,0.04,0.04,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.02,0.0,0.04,0.0,0.0,,0.0,,0.17,0.02,,0.0,0.04,0.0,0.04,0.14,0.0,0.17,0.01,0.0,0.17,0.0,0.0,0.0,1.14,0.0,0.17,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.14,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.14,0.0,0.0,0.0,0.17,0.04,0.04,0.0,0.0,0.0,1.14,0.0,0.0,0.04,0.0,0.0,0.0
2017-08-22,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.74,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,,0.12,0.01,,0.12,0.0,0.74,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.0,0.0,,0.74,0.0,0.0,0.74,0.0,,0.0,0.0,0.12,0.0,0.0,0.0,0.74,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.01,0.0,,0.0,0.0,0.0,0.74,0.0,0.0,0.0,,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.12,0.0,,0.0,0.0,0.74,0.12,,,0.0,0.01,0.0,,,0.0,0.0,0.12,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,,0.31,0.01,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,,0.0,0.0,,0.0,0.0,,0.12,,0.0,0.0,0.74,0.74,0.0,0.0,0.0,0.0,,0.0,0.0,0.03,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.34,,0.0,0.74,0.0,0.0,,0.0,,0.12,,,0.0,,0.0,0.74,0.02,0.0,0.12,0.31,0.0,0.12,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,,0.0,0.0,0.34,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.02,0.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.0
2017-08-23,0.0,0.54,0.0,0.0,0.02,0.26,0.0,0.0,0.29,0.0,,0.01,,0.0,,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,,0.26,0.23,,0.26,0.02,0.29,0.1,0.0,0.06,0.26,0.0,0.0,0.0,0.1,0.53,0.02,0.29,0.54,0.1,0.29,0.05,0.0,0.0,0.54,0.26,0.0,0.05,0.0,0.29,0.0,0.26,0.2,0.0,0.54,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.29,0.02,0.0,0.0,,0.0,0.54,0.18,0.29,0.0,0.54,0.0,0.0,0.26,1.37,,0.0,0.0,0.29,0.26,0.02,0.0,0.02,0.23,0.0,,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.54,0.05,0.0,0.26,0.1,0.41,0.0,0.29,0.0,0.23,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.2,0.01,0.0,0.29,0.02,0.0,0.0,,0.0,0.0,,0.26,,0.0,0.0,0.29,0.29,0.0,0.0,0.0,0.0,,0.54,0.0,0.0,0.0,0.0,0.0,0.54,,0.0,0.1,0.37,0.0,0.0,0.0,0.29,0.0,0.0,0.29,0.0,,0.26,0.0,0.29,0.42,,0.42,0.29,0.0,0.0,0.26,0.0,0.0,0.26,0.54,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,,0.0,0.0,0.0,0.02,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.1,0.0,0.0,0.26,0.0,0.0,0.0,0.29,0.01,0.0,0.1,0.0,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.26,0.02,0.02,0.01,0.0,0.0,0.0,0.37,0.0,0.29,0.01,0.0,0.0
2017-08-24,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.47,0.0,0.01,,0.07,,0.03,,0.7,0.03,0.0,0.0,0.0,0.54,0.0,0.0,0.0,0.41,0.47,0.09,0.0,0.0,0.1,0.0,0.78,0.0,0.03,0.0,0.02,0.03,0.0,0.0,0.0,0.25,0.1,0.01,0.0,2.45,0.0,0.41,0.25,1.57,0.14,0.0,0.03,0.25,0.0,0.02,0.0,0.04,0.03,0.0,0.0,0.82,0.22,0.0,0.0,0.0,0.0,0.41,0.03,0.05,0.0,0.04,0.28,0.04,0.0,2.45,0.1,0.0,0.0,0.0,0.0,0.02,0.0,0.03,0.07,0.0,0.7,0.03,0.22,0.0,0.0,0.01,0.03,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.02,0.15,0.03,0.0,0.1,0.0,0.0,0.78,0.0,0.0,0.0,0.28,0.0,0.0,0.03,0.02,0.0,0.0,0.25,0.08,0.31,1.2,0.0,0.02,0.0,,0.01,0.1,0.0,0.0,0.01,0.0,0.0,0.01,0.04,0.1,0.05,0.0,0.07,0.0,0.0,0.14,0.0,0.22,,0.0,0.15,0.02,0.0,,0.1,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.03,0.03,0.1,0.01,0.0,0.0,0.04,0.03,0.04,0.41,0.25,0.39,0.4,0.0,0.0,0.0,0.1,0.03,1.2,0.1,,0.0,0.0,1.2,0.34,0.03,0.34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.54,0.0,0.1,0.03,0.1,0.1,0.4,0.0,0.1,0.25,0.1,0.1,0.1,0.0,0.78,0.28,0.0,0.07,0.25,0.1,0.04,0.0,1.47,0.1,0.0,0.0,0.07,0.0,0.25,0.04,0.0,0.0,0.78,0.03,0.0,0.05,0.78,0.22,0.0,0.0,0.0,0.47,0.0,0.01,0.0,0.0,0.0,0.07,0.03,0.0,0.0,0.39,0.78,0.0,0.07,0.0,0.0
2017-08-25,0.0,0.08,0.0,0.0,0.38,0.08,0.14,0.04,0.0,0.0,,0.0,0.01,0.0,,0.0,0.08,0.08,0.0,2.02,0.0,0.0,0.08,0.33,0.0,0.04,0.01,0.0,0.0,0.01,0.11,0.0,0.08,0.0,0.08,0.05,0.0,0.08,0.38,0.0,0.18,0.01,0.0,0.08,0.0,0.1,0.0,0.18,0.25,0.0,0.0,0.08,0.18,0.0,0.49,0.03,,0.08,0.08,0.0,0.02,1.06,0.0,0.0,0.08,0.06,0.0,0.08,0.03,0.0,0.03,2.03,0.0,0.0,0.0,0.01,0.0,0.38,0.33,0.0,0.01,0.0,0.08,0.86,0.0,0.0,0.08,1.06,0.1,0.08,1.01,0.0,0.0,0.1,0.0,0.08,0.0,0.03,0.38,0.05,0.0,0.0,0.03,0.01,0.0,0.08,0.0,0.01,0.0,0.0,2.03,0.0,0.0,0.08,0.49,0.0,0.08,0.18,0.08,1.1,0.44,0.47,0.05,0.33,0.01,0.0,0.01,0.14,0.0,0.0,0.33,0.0,0.0,0.16,0.01,0.03,0.06,0.0,0.0,0.0,0.0,0.0,1.06,,0.0,0.0,0.01,0.08,0.01,0.0,0.13,0.0,0.0,0.16,0.08,0.0,0.0,0.0,0.08,0.0,0.07,0.0,0.0,0.16,0.08,0.0,0.0,0.18,0.72,0.0,0.03,0.0,0.0,0.0,0.0,0.44,0.01,0.01,0.08,0.03,0.44,0.01,0.0,0.01,0.0,0.29,0.0,0.08,0.47,0.0,0.08,0.08,0.0,0.0,0.13,0.0,0.08,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.61,0.0,0.18,0.01,0.01,0.0,0.03,0.0,2.03,0.01,0.0,0.18,0.01,0.16,0.08,1.45,0.01,0.29,0.0,0.0,0.0,0.18,0.02,0.0,0.0,0.0,0.08,0.0,0.03,0.0,1.06,0.0,0.0,0.13,0.04,0.03,0.07,0.08,0.38,0.38,0.33,0.0,0.14,0.13,0.72,0.0,0.0,0.0,0.03,0.0
2017-08-26,0.0,0.05,0.0,7.93,0.02,0.03,0.21,1.62,0.38,0.12,3.22,0.0,0.38,0.26,0.24,0.12,0.05,0.0,0.0,5.61,0.05,0.0,0.03,0.03,0.0,1.62,0.1,1.37,7.93,0.2,0.37,0.0,0.03,0.06,0.03,1.22,0.06,0.03,0.02,0.38,0.03,0.2,0.09,0.03,3.22,1.04,0.0,0.03,0.0,0.15,0.38,0.05,0.03,0.38,0.0,0.0,0.0,0.05,0.03,0.0,0.01,1.38,0.38,0.0,0.03,1.62,0.0,0.05,0.03,0.0,0.0,0.01,0.2,0.28,3.22,0.2,0.38,0.02,7.0,0.0,0.0,0.0,0.05,2.13,0.38,0.12,0.05,1.38,1.04,0.03,0.01,0.06,0.06,1.04,0.38,0.03,0.15,0.0,0.02,1.22,0.89,0.06,0.0,0.2,1.37,0.03,0.0,0.0,0.0,0.38,0.01,0.28,0.0,0.05,0.0,0.28,0.03,0.03,0.12,6.93,0.63,0.21,1.22,0.03,0.38,0.0,0.2,0.21,0.0,0.12,0.03,0.38,0.12,0.1,0.2,0.03,1.62,0.0,0.0,0.38,0.15,0.0,1.38,3.22,0.0,0.89,0.0,0.03,0.38,0.05,0.0,0.38,0.38,0.1,0.0,0.0,0.06,0.06,0.05,0.05,3.48,0.3,0.01,0.1,0.05,0.2,0.0,0.03,0.06,0.35,0.0,0.0,0.38,0.0,0.01,0.63,0.2,0.38,0.03,0.0,0.63,0.39,0.06,0.39,0.38,0.42,0.0,0.03,0.21,0.28,0.03,0.05,0.3,0.0,0.0,7.93,0.03,0.05,0.0,0.2,0.06,0.0,0.0,0.35,2.75,0.05,0.03,0.2,0.2,0.0,0.0,0.0,0.01,0.0,0.0,0.03,0.2,0.1,0.03,0.03,0.2,0.42,0.38,0.0,0.0,0.03,0.94,0.0,0.0,0.0,0.05,0.3,0.03,0.0,1.38,0.06,1.47,0.0,1.62,0.05,3.48,0.03,0.02,0.02,0.03,0.26,0.21,0.0,0.06,0.0,0.38,0.0,0.05,0.3
