date,Alachua County,Baker County,Bay County,Bradford County,Brevard County,Broward County,Calhoun County,Charlotte County,Citrus County,Clay County,Collier County,Columbia County,DeSoto County,Dixie County,Duval County,Escambia County,Flagler County,Franklin County,Gadsden County,Gilchrist County,Glades County,Gulf County,Hamilton County,Hardee County,Hendry County,Hernando County,Highlands County,Hillsborough County,Holmes County,Indian River County,Jackson County,Jefferson County,Lafayette County,Lake County,Lee County,Leon County,Levy County,Liberty County,Madison County,Manatee County,Marion County,Martin County,Miami+AC0-Dade County,Monroe County,Nassau County,Okaloosa County,Okeechobee County,Orange County,Osceola County,Palm Beach County,Pasco County,Pinellas County,Polk County,Putnam County,St. Johns County,St. Lucie County,Santa Rosa County,Sarasota County,Seminole County,Sumter County,Suwannee County,Taylor County,Union County,Volusia County,Wakulla County,Walton County,Washington County
2017+AC0-09+AC0-03,0.9,1.6,3.5,1.5,3.3,3.3,3.1,2.3,0.9,1.5,,0.9,2.3,1.5,3.9,3.4,2.7,3.4,1.7,1.5,,2.1,1.3,2.2,1.4,1.9,2.2,0.2,,3,,1.7,1.3,2.8,2.1,1.7,1.5,3.4,1.3,3.8,1.1,2.9,3.2,3.2,1.7,2,1.6,2.4,2.8,4.3,1.9,2.3,1.3,1.5,4.7,2.1,3.1,3.8,2.7,2.8,1.3,1.3,1.5,2.6,1.7,3,
2017+AC0-09+AC0-04,2.3,1.7,2.7,3.3,3.7,5.2,3.1,2.9,1,3.3,,2.3,2.9,1.9,6.1,4.5,3.5,3,2.2,1.9,,1.9,1.4,1.9,4.3,3.5,1.9,1.5,,3.4,,2.2,1.4,3.5,4,2.2,1.9,3,1.4,4.8,1.2,3.3,5.9,5.3,3,1.3,1.4,3.1,2.8,6.7,3.5,3.3,2.4,3.3,4.9,4.1,2.1,4.8,2.8,3.5,1.4,1.4,3.3,2.7,2.2,3.9,
2017+AC0-09+AC0-05,2.4,1.8,2.4,3.2,4.5,6.2,3.1,3.7,1.4,3.2,,2.4,3.7,2.1,6.2,4.1,6.1,3.3,1.9,2.1,,2.6,1.8,2.3,4.2,1.9,2.3,0,,4,,1.9,1.8,2.7,2.8,1.9,2.1,3.3,1.8,3.9,2.5,3.6,6,5.4,3.2,1.4,1.3,2.6,2.2,7,1.9,3,1.5,3.2,4.5,3.6,1.9,3.9,3.2,2.7,1.8,1.8,3.2,2.7,1.9,3.6,
2017+AC0-09+AC0-06,4.2,2.8,4,3.8,3.8,4.8,5.3,3,0.6,3.8,,4.2,3,2.5,5.8,6.7,3.5,5.1,3.3,2.5,,2.1,2.8,2.7,4.1,3.1,2.7,0.6,,3.7,,3.3,2.8,2.6,2.8,3.3,2.5,5.1,2.8,3.6,2.5,3.8,4.2,4.2,3.2,3.8,1.7,3.2,2.4,4.9,3.1,3.9,2.3,3.8,5,3.9,5.9,3.6,4,2.6,2.8,2.8,3.8,3.9,3.3,5.7,
2017+AC0-09+AC0-07,3.6,4.2,6.9,3.2,4.5,3.8,7.4,3.2,1.7,3.2,,3.6,3.2,5,7.7,6.5,7.8,6.2,5,5,,8.9,3.9,2.6,2.8,3,2.6,1,4.3,3.8,4.3,5,3.9,4.7,3.8,5,5,6.2,3.9,3.5,3.3,3.8,4.4,4,4.9,4.2,1.4,4.1,3.8,4.4,3,4.2,2.7,3.2,6.9,2.9,6.8,3.5,3.9,4.7,3.9,3.9,3.2,3.5,5,7.1,4.3
2017+AC0-09+AC0-08,7.6,7.2,5.4,6.9,8.7,10.6,5.6,7,5.8,6.9,,7.6,7,6.6,10.6,6.5,9.1,5.7,4.6,6.6,,7.7,4.7,5.1,6.5,8.3,5.1,2.3,2.7,7.1,2.7,4.6,4.7,8.7,7.6,4.6,6.6,5.7,4.7,7.5,5.7,8.1,9.5,10.8,8.3,4.9,4.4,6.3,7.8,10.3,8.3,8.8,7.8,6.9,11.4,6.8,6.7,7.5,7.2,8.7,4.7,4.7,6.9,6,4.6,7.2,2.7
2017+AC0-09+AC0-09,9.4,9.9,8.8,8.7,14.5,17.6,7.5,14.3,9.7,8.7,,9.4,14.3,9.9,16.2,7.3,10.8,8.7,9,9.9,,10,7.3,11.5,12.5,11,11.5,5.9,,13.2,,9,7.3,10.9,13.8,9,9.9,8.7,7.3,11.9,8,13,16.3,18.1,14.2,5.8,9,10.8,11,16.3,11,12.9,9.9,8.7,18.2,8.5,9.5,11.9,10.1,10.9,7.3,7.3,8.7,8.9,9,9.8,
2017+AC0-09+AC0-10,12.4,11.7,15.7,8.6,23.3,27,11.3,24.9,10,8.6,,12.4,24.9,15.3,19.8,8.8,,13.1,12.2,15.3,,14.8,10.3,20,27.8,13.2,20,8.9,12.5,17.7,12.5,12.2,10.3,12.1,22.7,12.2,15.3,13.1,10.3,19.6,8.9,13.7,31.8,,17.9,8.7,13.3,14.3,15.8,31,13.2,18.8,16.1,8.6,24.3,20.6,12.9,19.6,14.8,12.1,10.3,10.3,8.6,10.7,12.2,14.1,12.5
2017+AC0-09+AC0-11,21.4,18.6,17.9,,,,17.8,21.5,,,,21.4,21.5,26.8,29.3,14.5,,17,19.4,26.8,,17.6,17,25.9,22,28.8,25.9,13.5,14.6,,14.6,19.4,17,25.4,15.1,19.4,26.8,17,17,25.2,,13.4,,13.6,28.5,12.5,22.1,25.5,,18.1,28.8,24.6,33.5,,35.5,24,15.2,25.2,25.9,25.4,17,17,,21.6,19.4,19,14.6
2017+AC0-09+AC0-12,8.5,6.9,9.9,,6.9,4.8,11.9,6.6,,,,8.5,6.6,9.3,10.5,10,7.9,7.4,8.2,9.3,,6.8,,5.5,5.8,10.6,5.5,2.6,6.1,6.2,6.1,8.2,,7.5,4.5,8.2,9.3,7.4,,8.3,6.5,6.2,8.7,4,9.8,8.5,4.6,8.6,7.9,5.9,10.6,7.2,,,9,4.7,6.1,8.3,8.2,7.5,,,,,8.2,9.9,6.1
