date,Alachua County,Baker County,Bay County,Bradford County,Brevard County,Broward County,Calhoun County,Charlotte County,Citrus County,Clay County,Collier County,Columbia County,DeSoto County,Dixie County,Duval County,Escambia County,Flagler County,Franklin County,Gadsden County,Gilchrist County,Glades County,Gulf County,Hamilton County,Hardee County,Hendry County,Hernando County,Highlands County,Hillsborough County,Holmes County,Indian River County,Jackson County,Jefferson County,Lafayette County,Lake County,Lee County,Leon County,Levy County,Liberty County,Madison County,Manatee County,Marion County,Martin County,Miami-Dade County,Monroe County,Nassau County,Okaloosa County,Okeechobee County,Orange County,Osceola County,Palm Beach County,Pasco County,Pinellas County,Polk County,Putnam County,St. Johns County,St. Lucie County,Santa Rosa County,Sarasota County,Seminole County,Sumter County,Suwannee County,Taylor County,Union County,Volusia County,Wakulla County,Walton County,Washington County
2017+AC0-09+AC0-03,4.1,4.1,8.9,6,7,8,15.9,9.9,8,6,,4.1,9.9,9.9,9.9,17.1,5.1,11.1,11.1,9.9,,7,7,18.1,14,9.9,18.1,5.1,,7,,11.1,7,6,7,11.1,9.9,11.1,7,8.9,5.1,7,8.9,8.9,8,11.1,8.9,7,8.9,15.9,9.9,7,11.1,6,8.9,7,8,8.9,6,6,7,7,6,7,11.1,8.9,
2017+AC0-09+AC0-04,7,6,9.9,8,9.9,12,8,13,8,8,,7,13,9.9,12,9.9,7,8,13,9.9,,6,8.9,12,8,15.9,12,8,,11.1,,13,8.9,11.1,14,13,9.9,8,8.9,8.9,7,8,12,12,9.9,7,15.9,11.1,11.1,9.9,15.9,9.9,15.9,8,8.9,9.9,11.1,8.9,12,11.1,8.9,8.9,8,15,13,9.9,
2017+AC0-09+AC0-05,7,6,9.9,7,11.1,13,9.9,20,6,7,,7,20,9.9,9.9,11.1,9.9,8,9.9,9.9,,8.9,8.9,19,19,7,19,4.1,,9.9,,9.9,8.9,8,18.1,9.9,9.9,8,8.9,8.9,7,6,9.9,11.1,8,6,8.9,15,8.9,11.1,7,9.9,6,7,11.1,8,6,8.9,12,8,8.9,8.9,7,9.9,9.9,9.9,
2017+AC0-09+AC0-06,11.1,7,11.1,11.1,8,11.1,22,8.9,8,11.1,,11.1,8.9,8,8.9,12,6,8,13,8,,14,12,11.1,13,9.9,11.1,7,,11.1,,13,12,13,11.1,13,8,8,12,9.9,6,14,13,18.1,9.9,8.9,7,8,15.9,12,9.9,9.9,14,11.1,9.9,14,12,9.9,12,13,12,12,11.1,7,13,11.1,
2017+AC0-09+AC0-07,8.9,9.9,12,9.9,12,13,11.1,20,7,9.9,,8.9,20,11.1,12,8.9,9.9,8.9,8,11.1,,13,8.9,17.1,20,9.9,17.1,9.9,5.1,8.9,5.1,8,8.9,13,13,8,11.1,8.9,8.9,8.9,8,14,11.1,8.9,11.1,8,11.1,13,15,11.1,9.9,9.9,13,9.9,12,9.9,9.9,8.9,12,13,8.9,8.9,9.9,9.9,8,11.1,5.1
2017+AC0-09+AC0-08,14,15,9.9,15,15.9,19,8,22,15.9,15,,14,22,12,17.1,9.9,13,11.1,11.1,12,,11.1,11.1,14,25.1,17.1,14,13,5.1,13,5.1,11.1,11.1,19,17.1,11.1,12,11.1,11.1,20,12,12,17.1,20,15.9,8,12,15.9,15,17.1,17.1,20,13,15,18.1,14,8.9,20,18.1,19,11.1,11.1,15,13,11.1,9.9,5.1
2017+AC0-09+AC0-09,15.9,13,17.1,15.9,24.1,29.9,12,22.9,15,15.9,,15.9,22.9,19,22.9,11.1,17.1,13,15,19,,15.9,14,20,20,20,20,17.1,,22.9,,15,14,19,20,15,19,13,14,18.1,12,17.1,35,32.1,21,12,20,19,22,22.9,20,18.1,15,15.9,22.9,15.9,15,18.1,18.1,19,14,14,15.9,25.1,15,15,
2017+AC0-09+AC0-10,20,14,22.9,12,27,40,18.1,44.1,20,12,,20,44.1,25.1,28.9,15.9,,17.1,17.1,25.1,,22.9,18.1,45.1,63.9,22,45.1,19,20,24.1,20,17.1,18.1,28,49.9,17.1,25.1,17.1,18.1,40,21,22,40,,25.1,15.9,28.9,36.9,38.1,51.1,22,33,33,12,44.1,49.9,25.1,40,42,28,18.1,18.1,12,25.1,17.1,24.1,20
2017+AC0-09+AC0-11,35,24.1,24.1,,,,28.9,40,,,,35,40,35.9,42.9,21,,22.9,29.9,35.9,,27,20,54,39,33,54,27,18.1,,18.1,29.9,20,36.9,19,29.9,35.9,22.9,20,42,,19,,15.9,42.9,21,40,44.1,,42,33,42.9,36.9,,45.1,48,20,42,44.1,36.9,20,20,,35,29.9,24.1,18.1
2017+AC0-09+AC0-12,14,12,18.1,,11.1,11.1,18.1,11.1,,,,14,11.1,13,20,15,12,12,14,13,,9.9,,8.9,11.1,18.1,8.9,6,8,11.1,8,14,,11.1,9.9,14,13,12,,15,13,12,9.9,9.9,15.9,15,11.1,13,11.1,9.9,18.1,12,,,14,8.9,12,15,15.9,11.1,,,,,14,17.1,8
2017+AC0-09+AC0-13,8,7,8.9,,12,13,11.1,7,,,,8,7,11.1,9.9,14,8,6,11.1,11.1,,8.9,,6,8.9,8,6,8.9,,13,,11.1,,4.1,8.9,11.1,11.1,6,,8.9,8,9.9,9.9,8.9,8.9,11.1,6,9.9,8,14,8,8,,,9.9,14,8.9,8.9,8,4.1,,,,,11.1,12,
2017+AC0-09+AC0-14,8.9,4.1,8.9,,12,11.1,6,15,,,,8.9,15,8,8,11.1,8,8.9,6,8,,4.1,,9.9,11.1,8,9.9,7,,11.1,,6,,5.1,9.9,6,8,8.9,,9.9,8,12,9.9,9.9,8.9,7,8,15.9,18.1,13,8,14,,,9.9,9.9,12,9.9,9.9,5.1,,,,,6,9.9,
2017+AC0-09+AC0-15,15,12,8.9,,11.1,12,7,8,,,,15,8,9.9,11.1,12,9.9,7,9.9,9.9,,8.9,7,13,8.9,8.9,13,6,,11.1,,9.9,7,9.9,8,9.9,9.9,7,7,13,8.9,8.9,12,13,13,7,8.9,11.1,15,13,8.9,13,,,12,8.9,13,13,12,9.9,7,7,,,9.9,9.9,
2017+AC0-09+AC0-16,8,8.9,17.1,,15,13,8,12,,,,8,12,7,8.9,8,11.1,7,9.9,7,,7,8,12,11.1,17.1,12,7,,13,,9.9,8,11.1,11.1,9.9,7,7,8,9.9,11.1,13,14,15,8.9,8.9,13,12,12,15,17.1,11.1,,,12,11.1,12,9.9,14,11.1,8,8,,,9.9,8.9,
2017+AC0-09+AC0-17,9.9,9.9,9.9,,17.1,11.1,8.9,11.1,,,,9.9,11.1,11.1,12,8.9,13,6,8.9,11.1,,7,8.9,12,9.9,9.9,12,7,,15.9,,8.9,8.9,11.1,11.1,8.9,11.1,6,8.9,12,11.1,14,12,11.1,11.1,14,11.1,13,11.1,15,9.9,13,,,15.9,11.1,8.9,12,15,11.1,8.9,8.9,,,8.9,8,
