date,Alachua County,Baker County,Bay County,Bradford County,Brevard County,Broward County,Calhoun County,Charlotte County,Citrus County,Clay County,Collier County,Columbia County,DeSoto County,Dixie County,Duval County,Escambia County,Flagler County,Franklin County,Gadsden County,Gilchrist County,Glades County,Gulf County,Hamilton County,Hardee County,Hendry County,Hernando County,Highlands County,Hillsborough County,Holmes County,Indian River County,Jackson County,Jefferson County,Lafayette County,Lake County,Lee County,Leon County,Levy County,Liberty County,Madison County,Manatee County,Marion County,Martin County,Miami-Dade County,Monroe County,Nassau County,Okaloosa County,Okeechobee County,Orange County,Osceola County,Palm Beach County,Pasco County,Pinellas County,Polk County,Putnam County,St. Johns County,St. Lucie County,Santa Rosa County,Sarasota County,Seminole County,Sumter County,Suwannee County,Taylor County,Union County,Volusia County,Wakulla County,Walton County,Washington County
2017+AC0-09+AC0-03,0.16,,0.02,,4.62,0.03,1.6,0,,,0.06,0.16,0,0.06,0.03,0.7,,,1.42,0.06,0.06,0.03,0.08,0,0.19,0.2,0,,,0.29,,1.42,0.08,0.01,0.16,1.42,0.06,,0.08,0.1,,,,,0.04,0.01,,0.11,,0.03,0.2,0.34,,,0.01,0,0,0.1,0.1,0.01,0.08,0.08,,,1.42,,
2017+AC0-09+AC0-04,0,,0,,0,0,0,0,,,0,0,0,0.01,0,0.56,,,0.02,0.01,1.47,0.02,0,1.1,0,0.01,1.1,,,0.02,,0.02,0,0,0.02,0.02,0.01,,0,0.01,0.01,,0,,0,2.75,,0,0.01,0,0.01,0.1,,,0.01,0.01,0.05,0.01,0,0,0,0,,,0.02,,
2017+AC0-09+AC0-05,0,,0,,0.01,0.02,,0,,,0.46,0,0,0,0,,,,0.15,0,0,0,,0.04,0,1.12,0.04,,,0,,0.15,,1.11,0,0.15,0,,,0,,,0,,0,0.07,,0.05,0.01,0.01,1.12,0,,,,0,0.19,0,0.25,1.11,,,,,0.15,,
2017+AC0-09+AC0-06,0,,0,,0.1,0,0.97,0,,,0.45,0,0,0,0,0,,,0,0,0.03,1.54,0.81,0,0.47,0.03,0,,,0.02,,0,0.81,0,1.69,0,0,,0.81,0,0.23,,0,0.06,0,0,,0,0.2,0.11,0.03,0.14,,,0,0.01,0.01,0,0.01,0,0.81,0.81,,,0,,
2017+AC0-09+AC0-07,0.1,,0.27,,0.04,0.04,,0.08,,,0,0.1,0.08,0.24,0.06,0,,0,0.25,0.24,0,,1.42,0.03,0,0.33,0.03,,,0.11,,0.25,1.42,1.16,0.48,0.25,0.24,0,1.42,0.26,0,,0.44,0.06,0,0,,0.11,,,0.33,0.1,,,0.01,0.02,,0.26,0.68,1.16,1.42,1.42,,,0.25,,
2017+AC0-09+AC0-08,0,,0,,0,0,,0.76,,,,0,0.76,0,0,0,,,0,0,0,,0,0,0.81,0,0,,,0.01,,0,0,0,1.89,0,0,,0,0,,,0.15,0.01,0,0,,0.16,0.08,0.06,0,0.68,,,0.01,0,0,0,0,0,0,0,,,0,,
2017+AC0-09+AC0-09,0,,0,,0.21,0.07,,0.19,,,1.3,0,0.19,0,0,0,,0,0,0,0,,,0.07,0.58,0,0.07,,,0.29,,0,,0.02,0.21,0,0,0,,0.01,,,0.26,0.99,0,0,,0.1,0,0.03,0,0.08,,,0.01,0.17,0,0.01,0.26,0.02,,,,,0,,
2017+AC0-09+AC0-10,0.81,,0.01,,1.39,2.93,,0,,,1.28,0.81,0,0.04,2.04,0,,0,0,0.04,0.82,,0.33,1.36,1.5,0,1.36,,,1.94,,0,0.33,0.11,1.16,0,0.04,0,0.33,0.04,0.05,,4.07,,0.81,0,,0.24,0.29,1.92,0,0.02,,,0,9.43,0,0.04,0.17,0.11,0.33,0.33,,,0,,
2017+AC0-09+AC0-11,11.39,,0.07,,,,0.13,0.66,,,,11.39,0.66,1.5,7.06,0,,0.07,1.08,1.5,7.09,0.14,,0,8.84,5.97,0,,,8.11,,1.08,,8.05,0,1.08,1.5,0.07,,5.71,0,,,,9.01,0.03,,7.48,,1.79,5.97,4.32,,,,6.41,0,5.71,9.24,8.05,,,,,1.08,0.03,
2017+AC0-09+AC0-12,5.77,,0.58,,0.22,0,0.62,0,,,0.07,5.77,0,2.38,0.02,0.01,,1.51,0.39,2.38,0.07,0.55,,,0.01,0,,,,0,,0.39,,0.03,0,0.39,2.38,1.51,,0.08,,,0,,0.19,0.63,,0.03,,0.01,0,0.03,,,0.34,0.03,0.1,0.08,0.48,0.03,,,,,0.39,0.23,
2017+AC0-09+AC0-13,0.01,,0,,0,0,0,0,,,0,0.01,0,0,0,0,,0,0,0,0,0,,,0,0,,,,0,,0,,0.01,0,0,0,0,,0.01,,,0,0.01,0,0,,0,,0,0,0.01,,,0,0,0,0.01,0,0.01,,,,,0,0,
2017+AC0-09+AC0-14,0,,0,,0,0.24,,0,,,0.02,0,0,0,0,0,,0.1,0,0,0,,,,0,3.26,,,,0,,0,,0,0.02,0,0,0.1,,0.72,,,0,,0,0,,0,,0,3.26,0,,,0.01,0,0,0.72,0,0,,,,,0,,
2017+AC0-09+AC0-15,0,,0,,0.16,0,,,,,1.15,0,,0,0,0,,0,0.09,0,0.42,,,0.03,0.21,0.03,0.03,,,0.06,,0.09,,0.01,0.43,0.09,0,0,,0.14,0.14,,0,,0,0,,2.08,,0,0.03,,,,0,0.24,0,0.14,0.09,0.01,,,,,0.09,,
