date,Appling,Atkinson,Bacon,Baker,Baldwin,Banks,Barrow,Bartow,Ben Hill,Berrien,Bibb,Bleckley,Brantley,Brooks,Bryan,Bulloch,Burke,Butts,Calhoun,Camden,Candler,Carroll,Catoosa,Charlton,Chatham,Chattahoochee,Chattooga,Cherokee,Clarke,Clay,Clayton,Clinch,Cobb,Coffee,Colquitt,Columbia,Cook,Coweta,Crawford,Crisp,Dade,Dawson,DeKalb,Decatur,Dodge,Dooly,Dougherty,Douglas,Early,Echols,Effingham,Elbert,Emanuel,Evans,Fannin,Fayette,Floyd,Forsyth,Franklin,Fulton,Gilmer,Glascock,Glynn,Gordon,Grady,Greene,Gwinnett,Habersham,Hall,Hancock,Haralson,Harris,Hart,Heard,Henry,Houston,Irwin,Jackson,Jasper,Jeff Davis,Jefferson,Jenkins,Johnson,Jones,Lamar,Lanier,Laurens,Lee,Liberty,Lincoln,Long,Lowndes,Lumpkin,Macon,Madison,Marion,McDuffie,McIntosh,Meriwether,Miller,Mitchell,Monroe,Montgomery,Morgan,Murray,Muscogee,Newton,Oconee,Oglethorpe,Paulding,Peach,Pickens,Pierce,Pike,Polk,Pulaski,Putnam,Quitman,Rabun,Randolph,Richmond,Rockdale,Schley,Screven,Seminole,Spalding,Stephens,Stewart,Sumter,Talbot,Taliaferro,Tattnall,Taylor,Telfair,Terrell,Thomas,Tift,Toombs,Towns,Treutlen,Troup,Turner,Twiggs,Union,Upson,Walker,Walton,Ware,Warren,Washington,Wayne,Webster,Wheeler,White,Whitfield,Wilcox,Wilkes,Wilkinson,Worth
2017-09-03,7.0,5.1,7.0,7.0,8.0,9.9,13.0,5.1,4.1,4.1,8.0,8.0,6.0,5.1,7.0,8.9,11.1,9.9,5.1,6.0,8.9,7.0,6.0,6.0,7.0,7.0,6.0,11.1,8.0,5.1,9.9,4.1,11.1,5.1,5.1,11.1,4.1,7.0,9.9,7.0,6.0,11.1,11.1,11.1,8.9,8.0,7.0,8.9,5.1,4.1,8.9,8.9,6.0,8.9,6.0,8.9,6.0,11.1,9.9,11.1,6.0,12.0,6.0,6.0,4.1,8.0,13.0,11.1,11.1,8.0,8.9,7.0,8.9,7.0,9.9,8.0,4.1,9.9,13.0,7.0,12.0,8.9,8.9,6.0,9.9,4.1,8.9,7.0,7.0,12.0,8.9,4.1,11.1,8.0,8.0,7.0,12.0,6.0,7.0,4.1,12.0,9.9,6.0,13.0,6.0,7.0,13.0,8.0,8.0,8.9,8.0,6.0,7.0,9.9,8.9,8.0,13.0,5.1,11.1,5.1,11.1,13.0,7.0,8.9,4.1,9.9,9.9,7.0,7.0,9.9,12.0,8.9,9.9,5.1,7.0,5.1,4.1,6.0,11.1,6.0,7.0,4.1,8.0,11.1,9.9,6.0,13.0,7.0,12.0,8.9,6.0,7.0,6.0,11.1,6.0,4.1,8.9,8.9,7.0
2017-09-04,8.9,5.1,8.9,11.1,15.9,7.0,8.0,6.0,8.0,8.0,15.9,15.9,8.9,8.0,11.1,7.0,8.9,7.0,6.0,8.9,7.0,6.0,5.1,8.9,11.1,8.0,8.0,8.9,5.1,6.0,9.9,7.0,12.0,5.1,8.0,8.9,7.0,6.0,6.0,11.1,5.1,8.9,8.9,8.9,5.1,15.9,11.1,7.0,6.0,7.0,7.0,9.9,13.0,7.0,5.1,6.0,8.0,8.9,7.0,8.9,5.1,8.9,8.9,5.1,6.0,5.1,11.1,8.9,8.9,15.9,7.0,8.0,9.9,6.0,7.0,15.9,8.0,7.0,8.0,8.9,8.9,5.1,5.1,6.0,6.0,7.0,5.1,11.1,11.1,8.9,7.0,7.0,8.9,15.9,5.1,8.0,8.9,6.0,6.0,6.0,8.9,6.0,13.0,8.0,5.1,8.0,8.0,5.1,5.1,7.0,15.9,5.1,8.9,6.0,7.0,15.9,8.0,6.0,8.9,6.0,8.9,8.0,8.0,5.1,6.0,7.0,7.0,8.0,11.1,6.0,8.9,7.0,6.0,5.1,11.1,8.0,8.0,13.0,8.9,13.0,6.0,8.0,15.9,8.9,6.0,5.1,8.0,8.9,8.9,5.1,8.9,8.0,13.0,8.9,5.1,8.0,9.9,5.1,11.1
2017-09-05,9.9,9.9,9.9,9.9,11.1,12.0,9.9,8.0,8.9,8.9,11.1,11.1,9.9,8.0,12.0,9.9,8.9,8.0,8.0,9.9,7.0,11.1,12.0,9.9,12.0,8.9,17.1,9.9,6.0,8.0,13.0,12.0,9.9,9.9,8.0,8.9,12.0,11.1,9.9,9.9,12.0,12.0,14.0,14.0,9.9,11.1,9.9,12.0,8.0,12.0,9.9,8.9,9.9,7.0,12.0,7.0,17.1,12.0,12.0,14.0,12.0,11.1,9.9,12.0,7.0,6.0,20.0,12.0,12.0,11.1,12.0,8.9,8.9,11.1,8.0,11.1,8.9,12.0,9.9,9.9,11.1,7.0,9.9,12.0,9.9,12.0,9.9,9.9,12.0,11.1,7.0,12.0,12.0,11.1,6.0,8.9,11.1,12.0,11.1,7.0,11.1,9.9,9.9,9.9,12.0,8.9,9.9,6.0,6.0,12.0,11.1,12.0,9.9,9.9,12.0,11.1,9.9,8.0,12.0,8.0,8.9,9.9,8.9,7.0,7.0,8.0,12.0,8.9,9.9,9.9,11.1,7.0,9.9,9.9,9.9,8.0,8.9,9.9,12.0,9.9,11.1,8.9,11.1,12.0,9.9,12.0,9.9,9.9,11.1,9.9,9.9,8.9,9.9,12.0,12.0,8.9,8.9,9.9,9.9
2017-09-06,13.0,14.0,13.0,14.0,15.0,11.1,11.1,9.9,14.0,14.0,15.0,15.0,13.0,8.9,17.1,11.1,12.0,18.1,7.0,13.0,15.0,12.0,11.1,13.0,17.1,9.9,13.0,9.9,14.0,7.0,15.0,14.0,12.0,14.0,8.9,12.0,14.0,12.0,8.9,14.0,11.1,13.0,13.0,13.0,14.0,15.0,14.0,12.0,7.0,14.0,11.1,9.9,11.1,15.0,11.1,13.0,13.0,13.0,11.1,13.0,11.1,15.0,13.0,11.1,12.0,14.0,12.0,13.0,13.0,15.0,12.0,9.9,9.9,12.0,18.1,15.0,14.0,11.1,11.1,13.0,15.0,9.9,14.0,14.0,8.9,14.0,14.0,14.0,17.1,15.0,15.0,14.0,13.0,15.0,14.0,9.9,15.0,14.0,12.0,12.0,15.0,8.9,11.1,11.1,11.1,9.9,11.1,14.0,14.0,12.0,15.0,11.1,13.0,8.9,12.0,15.0,11.1,7.0,13.0,7.0,12.0,11.1,9.9,9.9,12.0,18.1,11.1,9.9,14.0,8.9,15.0,15.0,8.9,14.0,14.0,8.9,14.0,11.1,13.0,11.1,12.0,14.0,15.0,13.0,8.9,11.1,11.1,13.0,15.0,14.0,13.0,9.9,11.1,13.0,11.1,14.0,9.9,14.0,14.0
2017-09-07,7.0,6.0,7.0,8.0,8.0,7.0,7.0,8.9,9.9,9.9,8.0,8.0,9.9,7.0,9.9,8.0,8.0,5.1,6.0,9.9,13.0,8.9,8.0,9.9,9.9,8.0,8.0,7.0,5.1,6.0,9.9,9.9,8.0,6.0,7.0,8.0,9.9,8.9,7.0,8.0,8.0,8.9,9.9,9.9,7.0,8.0,8.0,8.0,6.0,9.9,8.0,6.0,8.9,13.0,8.0,8.9,8.0,8.9,7.0,9.9,8.0,8.9,9.9,8.0,8.9,5.1,8.0,8.9,8.9,8.0,8.0,8.0,6.0,8.9,5.1,8.0,9.9,7.0,7.0,7.0,8.9,8.0,7.0,8.0,7.0,9.9,7.0,8.0,9.9,8.9,13.0,9.9,8.9,8.0,5.1,8.0,8.9,8.0,8.9,8.9,8.9,7.0,8.9,7.0,8.0,8.0,7.0,5.1,5.1,8.0,8.0,8.0,7.0,7.0,8.0,8.0,7.0,6.0,8.9,6.0,8.0,7.0,8.0,8.0,8.9,5.1,7.0,8.0,8.0,7.0,8.9,13.0,7.0,6.0,8.0,7.0,9.9,8.9,8.9,8.9,8.9,9.9,8.0,8.9,7.0,8.0,7.0,7.0,8.9,7.0,9.9,8.0,8.9,8.9,8.0,9.9,6.0,7.0,8.0
2017-09-08,8.9,12.0,8.9,13.0,6.0,7.0,8.9,6.0,9.9,9.9,6.0,6.0,18.1,8.9,12.0,8.0,9.9,6.0,9.9,18.1,11.1,6.0,5.1,18.1,12.0,9.9,7.0,8.0,8.0,9.9,9.9,12.0,5.1,12.0,8.9,9.9,12.0,6.0,8.0,13.0,5.1,9.9,6.0,6.0,8.0,6.0,13.0,7.0,9.9,12.0,8.0,5.1,14.0,11.1,5.1,8.0,7.0,9.9,7.0,6.0,5.1,8.9,18.1,5.1,13.0,8.0,8.0,9.9,9.9,6.0,7.0,9.9,5.1,6.0,6.0,6.0,9.9,7.0,8.9,8.9,8.9,9.9,8.0,14.0,8.0,12.0,8.0,13.0,12.0,8.9,11.1,12.0,9.9,6.0,8.0,9.9,8.9,14.0,6.0,13.0,8.9,8.0,14.0,8.9,5.1,9.9,8.9,8.0,8.0,7.0,6.0,5.1,8.9,8.0,7.0,6.0,8.9,9.9,9.9,9.9,9.9,8.9,9.9,9.9,13.0,6.0,7.0,9.9,13.0,8.0,8.9,11.1,8.0,12.0,13.0,8.9,9.9,14.0,9.9,14.0,6.0,9.9,6.0,9.9,8.0,5.1,8.9,8.9,8.9,8.0,18.1,9.9,14.0,9.9,5.1,9.9,5.1,8.0,13.0
2017-09-09,9.9,15.9,9.9,19.0,14.0,9.9,17.1,11.1,14.0,14.0,14.0,14.0,18.1,11.1,14.0,12.0,20.0,12.0,15.0,18.1,15.0,13.0,7.0,18.1,14.0,15.0,8.0,12.0,12.0,15.0,22.0,14.0,8.9,15.9,11.1,20.0,14.0,13.0,15.9,19.0,7.0,15.0,12.0,12.0,15.0,14.0,19.0,12.0,15.0,14.0,12.0,9.9,17.1,15.0,7.0,12.0,8.0,15.0,9.9,12.0,7.0,15.0,18.1,7.0,18.1,12.0,15.0,15.0,15.0,14.0,12.0,15.0,9.9,13.0,12.0,14.0,14.0,9.9,17.1,9.9,15.0,15.0,15.0,19.0,15.9,14.0,15.0,19.0,14.0,15.0,15.0,14.0,15.0,14.0,12.0,15.0,15.0,19.0,13.0,18.1,15.0,15.9,17.1,17.1,7.0,15.0,17.1,12.0,12.0,12.0,14.0,7.0,9.9,15.9,12.0,14.0,17.1,15.0,15.0,15.0,20.0,17.1,15.0,15.0,18.1,12.0,9.9,15.0,19.0,15.9,15.0,15.0,15.9,15.9,19.0,11.1,14.0,17.1,15.0,17.1,13.0,14.0,14.0,15.0,15.9,7.0,17.1,9.9,15.0,15.0,18.1,15.0,17.1,15.0,7.0,14.0,9.9,15.0,19.0
2017-09-10,11.1,20.0,11.1,22.0,13.0,11.1,20.0,12.0,13.0,13.0,13.0,13.0,22.0,15.0,17.1,9.9,15.9,15.9,17.1,22.0,15.0,17.1,8.9,22.0,17.1,18.1,13.0,18.1,17.1,17.1,25.1,22.0,12.0,20.0,15.0,15.9,22.0,17.1,15.0,22.0,8.9,18.1,12.0,12.0,14.0,13.0,22.0,18.1,17.1,22.0,9.9,8.0,19.0,15.0,8.9,15.0,13.0,18.1,11.1,12.0,8.9,15.0,22.0,8.9,22.0,17.1,17.1,18.1,18.1,13.0,18.1,18.1,8.0,17.1,15.9,13.0,13.0,11.1,20.0,11.1,15.0,15.0,14.0,22.9,15.0,22.0,14.0,22.0,17.1,15.0,15.0,22.0,18.1,13.0,17.1,18.1,15.0,22.9,17.1,22.0,15.0,15.0,19.0,20.0,8.9,18.1,20.0,17.1,17.1,18.1,13.0,8.9,11.1,15.0,18.1,13.0,20.0,17.1,18.1,17.1,15.9,20.0,18.1,15.0,22.0,15.9,11.1,18.1,22.0,15.0,15.0,15.0,15.0,20.0,22.0,15.0,13.0,19.0,18.1,19.0,17.1,13.0,13.0,18.1,15.0,8.9,20.0,11.1,15.0,14.0,22.0,18.1,19.0,18.1,8.9,13.0,8.0,14.0,22.0
2017-09-11,21.0,34.0,21.0,24.1,31.1,18.1,24.1,17.1,27.0,27.0,31.1,31.1,35.0,32.1,33.0,21.0,31.1,20.0,18.1,35.0,27.0,31.1,20.0,35.0,33.0,25.1,22.0,15.0,28.0,18.1,36.9,38.1,17.1,34.0,32.1,31.1,38.1,31.1,25.1,24.1,20.0,22.9,22.9,22.9,29.9,31.1,24.1,19.0,18.1,38.1,21.0,15.9,31.1,27.0,20.0,21.0,22.0,22.9,18.1,22.9,20.0,27.0,35.0,20.0,27.0,28.0,28.0,22.9,22.9,31.1,19.0,25.1,15.9,31.1,20.0,31.1,27.0,18.1,24.1,21.0,27.0,22.9,29.9,35.0,25.1,38.1,29.9,24.1,33.0,27.0,27.0,38.1,22.9,31.1,28.0,25.1,27.0,35.0,31.1,27.0,27.0,25.1,31.1,24.1,20.0,25.1,24.1,28.0,28.0,19.0,31.1,20.0,21.0,25.1,19.0,31.1,24.1,18.1,22.9,18.1,31.1,24.1,25.1,22.9,27.0,20.0,18.1,25.1,24.1,25.1,27.0,27.0,25.1,34.0,24.1,32.1,27.0,31.1,22.9,31.1,31.1,27.0,31.1,22.9,25.1,20.0,24.1,21.0,27.0,29.9,35.0,25.1,31.1,22.9,20.0,27.0,15.9,29.9,24.1
2017-09-12,17.1,13.0,17.1,14.0,18.1,17.1,12.0,9.9,13.0,13.0,18.1,18.1,18.1,13.0,13.0,15.9,20.0,8.0,11.1,18.1,12.0,14.0,18.1,18.1,13.0,13.0,19.0,19.0,25.1,11.1,22.9,15.0,18.1,13.0,13.0,20.0,15.0,14.0,15.9,14.0,18.1,12.0,14.0,14.0,15.9,18.1,14.0,15.9,11.1,15.0,15.9,8.0,15.9,12.0,18.1,14.0,19.0,12.0,17.1,14.0,18.1,19.0,18.1,18.1,17.1,25.1,8.0,12.0,12.0,18.1,15.9,13.0,8.0,14.0,8.0,18.1,13.0,17.1,12.0,17.1,19.0,6.0,15.9,20.0,15.9,15.0,15.9,14.0,13.0,19.0,12.0,15.0,12.0,18.1,25.1,13.0,19.0,20.0,14.0,17.1,19.0,15.9,15.9,12.0,18.1,13.0,12.0,25.1,25.1,15.9,18.1,18.1,17.1,15.9,15.9,18.1,12.0,11.1,12.0,11.1,20.0,12.0,13.0,6.0,17.1,8.0,17.1,13.0,14.0,15.9,19.0,12.0,15.9,13.0,14.0,13.0,13.0,15.9,12.0,15.9,14.0,13.0,18.1,12.0,15.9,18.1,12.0,17.1,19.0,15.9,18.1,13.0,15.9,12.0,18.1,13.0,8.0,15.9,14.0
