date,Appling,Atkinson,Bacon,Baker,Baldwin,Banks,Barrow,Bartow,Ben Hill,Berrien,Bibb,Bleckley,Brantley,Brooks,Bryan,Bulloch,Burke,Butts,Calhoun,Camden,Candler,Carroll,Catoosa,Charlton,Chatham,Chattahoochee,Chattooga,Cherokee,Clarke,Clay,Clayton,Clinch,Cobb,Coffee,Colquitt,Columbia,Cook,Coweta,Crawford,Crisp,Dade,Dawson,DeKalb,Decatur,Dodge,Dooly,Dougherty,Douglas,Early,Echols,Effingham,Elbert,Emanuel,Evans,Fannin,Fayette,Floyd,Forsyth,Franklin,Fulton,Gilmer,Glascock,Glynn,Gordon,Grady,Greene,Gwinnett,Habersham,Hall,Hancock,Haralson,Harris,Hart,Heard,Henry,Houston,Irwin,Jackson,Jasper,Jeff Davis,Jefferson,Jenkins,Johnson,Jones,Lamar,Lanier,Laurens,Lee,Liberty,Lincoln,Long,Lowndes,Lumpkin,Macon,Madison,Marion,McDuffie,McIntosh,Meriwether,Miller,Mitchell,Monroe,Montgomery,Morgan,Murray,Muscogee,Newton,Oconee,Oglethorpe,Paulding,Peach,Pickens,Pierce,Pike,Polk,Pulaski,Putnam,Quitman,Rabun,Randolph,Richmond,Rockdale,Schley,Screven,Seminole,Spalding,Stephens,Stewart,Sumter,Talbot,Taliaferro,Tattnall,Taylor,Telfair,Terrell,Thomas,Tift,Toombs,Towns,Treutlen,Troup,Turner,Twiggs,Union,Upson,Walker,Walton,Ware,Warren,Washington,Wayne,Webster,Wheeler,White,Whitfield,Wilcox,Wilkes,Wilkinson,Worth
2017-09-03,0.95,0.95,0.95,0.0,0.0,0.0,0.0,0.0,0.95,0.95,0.0,0.95,0.95,0.09,,,0.0,0.0,0.0,,0.95,0.0,0.0,0.95,,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.95,0.02,0.0,0.02,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.95,0.02,0.02,0.0,0.0,0.95,,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.95,0.0,0.0,0.95,0.0,0.0,0.0,,0.0,0.95,0.95,0.02,,0.0,,0.95,0.0,0.0,0.0,0.0,0.0,,0.0,0.09,0.0,0.0,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.02,0.0,0.0,0.95,0.0,0.95,0.02,0.09,0.02,0.95,0.0,0.95,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.95,0.0,0.0,0.95,0.0,0.95,0.0,0.0,0.02,0.0,0.0,0.02
2017-09-04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-06,0.0,0.0,0.0,0.0,0.53,1.05,1.05,0.31,0.0,0.0,0.52,0.0,0.0,0.0,,,0.0,0.52,0.0,,0.0,0.52,0.96,0.0,,0.0,0.96,0.46,0.86,0.0,0.16,0.0,0.46,0.0,0.0,0.0,0.0,0.52,0.52,0.0,0.96,1.05,0.52,0.52,0.0,0.0,0.0,0.16,0.0,0.0,,0.86,0.0,0.0,1.05,0.52,0.96,1.05,0.86,0.52,0.31,0.0,,0.96,0.0,0.53,0.52,1.05,1.05,0.52,0.31,0.0,0.86,0.52,0.16,0.0,0.0,1.05,0.53,0.0,0.0,0.0,0.0,,0.52,0.0,0.0,0.0,,0.0,,0.0,1.05,0.52,0.86,0.0,0.0,,0.52,0.0,0.0,0.52,0.0,0.53,0.96,0.0,0.53,0.53,0.86,0.31,0.0,0.46,0.0,0.52,0.31,0.0,0.53,0.0,1.05,0.0,0.0,0.52,0.0,0.0,0.0,0.52,1.05,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.0,0.52,0.0,0.53,1.05,0.52,0.96,0.53,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.96,0.0,0.86,0.53,0.0
2017-09-07,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.09,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.02,0.0,,0.01,0.02,0.0,0.06,0.0,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.03,0.03,0.0,0.0,0.0,0.07,0.0,0.0,,0.06,0.0,0.0,0.01,0.0,0.02,0.01,0.06,0.03,0.09,0.0,,0.02,0.0,0.02,0.03,0.01,0.01,0.0,0.09,0.01,0.06,0.0,0.07,0.0,0.0,0.01,0.02,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.01,0.0,0.06,0.01,0.0,,0.0,0.0,0.0,0.0,0.0,0.02,0.02,0.01,0.02,0.02,0.06,0.09,0.01,0.0,0.0,0.0,0.09,0.0,0.02,0.01,0.01,0.0,0.0,0.03,0.01,0.0,0.0,0.0,0.01,0.01,0.0,0.01,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.01,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.02,0.0,0.06,0.02,0.0
2017-09-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2017-09-11,2.04,2.04,2.04,0.2,0.0,0.2,0.2,0.15,2.04,2.04,0.29,2.04,2.04,0.19,2.61,2.61,0.49,0.29,0.2,2.61,2.04,0.29,0.03,2.04,2.61,0.44,0.03,0.16,0.25,0.2,0.23,2.04,0.16,2.04,1.44,0.49,1.44,0.29,0.29,1.44,0.03,0.2,0.26,0.26,2.04,1.44,1.44,0.23,0.2,2.04,2.61,0.25,0.49,2.04,0.2,0.29,0.03,0.2,0.25,0.26,0.15,0.49,2.61,0.03,0.19,0.0,0.26,0.2,0.2,0.29,0.15,0.44,0.25,0.29,0.23,1.44,2.04,0.2,0.0,2.04,0.49,0.49,0.49,2.61,0.29,2.04,2.04,1.44,2.61,0.49,2.61,2.04,0.2,0.29,0.25,0.44,0.49,2.61,0.29,0.19,0.49,0.29,2.04,0.0,0.03,0.44,0.0,0.0,0.25,0.15,0.44,0.16,2.04,0.29,0.15,1.44,0.0,0.44,0.2,0.2,0.49,0.26,0.44,0.49,0.19,0.29,0.2,0.44,1.44,0.44,0.0,2.04,0.44,2.04,1.44,0.19,1.44,2.04,0.2,2.04,0.29,1.44,0.0,0.2,0.29,0.03,0.0,2.04,0.49,0.49,2.04,0.44,2.04,0.2,0.03,1.44,0.25,0.0,1.44
2017-09-12,4.0,4.0,4.0,2.29,2.93,0.73,0.73,4.15,4.0,4.0,3.86,4.0,4.0,1.94,4.37,4.37,3.43,3.86,2.29,4.37,4.0,3.86,3.31,4.0,4.37,2.7,3.31,3.32,3.01,2.29,3.55,4.0,3.32,4.0,1.41,3.43,1.41,3.86,3.86,1.41,3.31,0.73,3.13,3.13,4.0,1.41,1.41,3.55,2.29,4.0,4.37,3.01,3.43,4.0,0.73,3.86,3.31,0.73,3.01,3.13,4.15,3.43,4.37,3.31,1.94,2.93,3.13,0.73,0.73,3.86,4.15,2.7,3.01,3.86,3.55,1.41,4.0,0.73,2.93,4.0,3.43,3.43,3.43,4.37,3.86,4.0,4.0,1.41,4.37,3.43,4.37,4.0,0.73,3.86,3.01,2.7,3.43,4.37,3.86,1.94,3.43,3.86,4.0,2.93,3.31,2.7,2.93,2.93,3.01,4.15,2.7,3.32,4.0,3.86,4.15,1.41,2.93,2.7,0.73,2.29,3.43,3.13,2.7,3.43,1.94,3.86,0.73,2.7,1.41,2.7,2.93,4.0,2.7,4.0,1.41,1.94,1.41,4.0,0.73,4.0,3.86,1.41,2.93,0.73,3.86,3.31,2.93,4.0,3.43,3.43,4.0,2.7,4.0,0.73,3.31,1.41,3.01,2.93,1.41
