date,Alachua County,Baker County,Bay County,Bradford County,Brevard County,Broward County,Calhoun County,Charlotte County,Citrus County,Clay County,Collier County,Columbia County,DeSoto County,Dixie County,Duval County,Escambia County,Flagler County,Franklin County,Gadsden County,Gilchrist County,Glades County,Gulf County,Hamilton County,Hardee County,Hendry County,Hernando County,Highlands County,Hillsborough County,Holmes County,Indian River County,Jackson County,Jefferson County,Lafayette County,Lake County,Lee County,Leon County,Levy County,Liberty County,Madison County,Manatee County,Marion County,Martin County,Miami-Dade County,Monroe County,Nassau County,Okaloosa County,Okeechobee County,Orange County,Osceola County,Palm Beach County,Pasco County,Pinellas County,Polk County,Putnam County,St. Johns County,St. Lucie County,Santa Rosa County,Sarasota County,Seminole County,Sumter County,Suwannee County,Taylor County,Union County,Volusia County,Wakulla County,Walton County,Washington County
2018-10-03,19.0,,,19.0,,22.0,,17.1,17.1,,,19.0,17.1,,,18.1,17.1,,,,,,,17.1,,17.1,17.1,17.1,,20.0,,,,19.0,17.1,,,,,17.1,,20.0,24.1,24.1,15.9,,20.0,25.1,20.0,21.0,17.1,,17.1,,,20.0,,17.1,22.9,19.0,,,19.0,21.0,,,
2018-10-04,,,,,20.0,22.0,,20.0,,,15.0,,20.0,,,,15.0,,,,32.1,,,19.0,32.1,,19.0,18.1,,28.0,,,,15.0,20.0,,,,,22.0,14.0,28.0,22.0,22.0,,,28.0,21.0,19.0,22.9,,17.1,19.0,15.9,15.9,28.0,,22.0,,15.0,,,,18.1,,,
2018-10-05,,,,,,18.1,,,,,,,,,,,15.0,,,,,,,15.9,,,15.9,,,25.1,,,,,15.0,,,,,15.9,,25.1,19.0,19.0,,,25.1,17.1,,19.0,,19.0,15.9,,,25.1,,15.9,,,,,,15.0,,,
2018-10-06,,,,,,21.0,,15.9,14.0,,14.0,,15.9,,,15.0,17.1,,,,22.0,,,19.0,22.0,14.0,19.0,,,19.0,,,,18.1,17.1,,,,,,14.0,19.0,22.0,22.0,,,19.0,,,20.0,14.0,28.0,19.0,,,19.0,,,,18.1,,,,21.0,,,
2018-10-07,18.1,,,18.1,20.0,22.9,,22.9,22.0,,19.0,18.1,22.9,15.9,,19.0,20.0,,,15.9,25.1,,15.9,19.0,25.1,22.0,19.0,,,19.0,,,15.9,21.0,20.0,,15.9,,,24.1,19.0,19.0,22.9,22.9,21.0,,19.0,,28.9,21.0,22.0,18.1,19.0,22.9,22.9,19.0,,24.1,26.0,21.0,15.9,15.9,18.1,24.1,,,
2018-10-08,18.1,,20.0,18.1,29.9,28.0,22.0,22.9,33.0,,19.0,18.1,22.9,18.1,26.0,22.0,22.0,22.0,22.0,18.1,29.9,22.0,18.1,31.1,29.9,33.0,31.1,,18.1,25.1,22.0,22.0,18.1,29.9,24.1,22.0,18.1,22.0,22.0,34.0,14.0,25.1,27.0,27.0,32.1,18.1,25.1,32.1,28.0,28.9,33.0,26.0,31.1,33.0,33.0,25.1,18.1,34.0,28.0,29.9,18.1,18.1,18.1,25.1,22.0,20.0,20.0
2018-10-09,21.0,25.1,21.0,21.0,38.1,20.0,24.1,24.1,18.1,25.1,25.1,21.0,24.1,19.0,22.9,21.0,25.1,24.1,24.1,19.0,20.0,24.1,19.0,18.1,20.0,18.1,18.1,19.0,19.0,31.1,24.1,24.1,19.0,19.0,20.0,24.1,19.0,24.1,24.1,22.9,,31.1,20.0,20.0,35.9,19.0,31.1,20.0,25.1,26.0,18.1,29.9,18.1,41.0,41.0,31.1,22.9,22.9,28.0,19.0,19.0,19.0,21.0,28.0,24.1,21.0,21.0
2018-10-10,25.1,22.0,41.0,25.1,22.9,20.0,62.0,28.9,28.0,22.0,24.1,25.1,28.9,39.0,27.0,35.9,29.9,62.0,62.0,39.0,26.0,62.0,39.0,27.0,26.0,28.0,27.0,28.9,38.1,24.1,62.0,62.0,39.0,42.9,29.9,62.0,39.0,62.0,62.0,36.9,24.1,24.1,15.9,15.9,27.0,38.1,24.1,33.0,34.0,22.0,28.0,33.0,27.0,28.0,28.0,24.1,39.0,36.9,41.0,42.9,39.0,39.0,25.1,35.0,62.0,41.0,41.0
2018-10-11,22.0,22.0,17.1,22.0,26.0,21.0,42.0,25.1,18.1,22.0,15.0,22.0,25.1,31.1,28.9,21.0,22.0,42.0,42.0,31.1,27.0,42.0,31.1,15.9,27.0,18.1,15.9,15.9,22.9,20.0,42.0,42.0,31.1,20.0,27.0,42.0,31.1,42.0,42.0,27.0,22.0,20.0,15.9,15.9,32.1,22.9,20.0,21.0,20.0,24.1,18.1,24.1,15.9,22.9,22.9,20.0,17.1,27.0,19.0,20.0,31.1,31.1,22.0,22.0,42.0,17.1,17.1
2018-10-12,,,,,,,,,,,,,,,,,,,,,,,,18.1,,,18.1,,,,,,,,,,,,,,,,,,,,,15.9,,,,,18.1,,,,,,15.9,,,,,,,,
2018-10-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018-10-14,,,15.0,,,15.9,,,,,,,,,,,,,,,,,,12.0,,,12.0,,,,,,,,,,,,,,,,,,,,,,19.0,,,15.9,12.0,,,,15.0,,,,,,,,,15.0,15.0
2018-10-15,,,,,,20.0,,17.1,,,,,17.1,,,15.0,,,,,17.1,,,13.0,17.1,,13.0,,,,,,,,14.0,,,,,,,,24.1,24.1,,,,,,22.0,,18.1,13.0,,,,18.1,,18.1,,,,,,,,
2018-10-16,,,,,,22.9,,,,,,,,,,17.1,,,,,21.0,,,12.0,21.0,,12.0,,,,,,,,22.9,,,,,,,,26.0,26.0,,,,,,21.0,,,12.0,,,,,,,,,,,14.0,,,
2018-10-17,,,,,,29.9,,,,,,,,,15.0,15.9,,,,,19.0,,,,19.0,,,,,,,,,,,,,,,,,,20.0,20.0,,,,,,18.1,,,,,,,,,,,,,,15.9,,,
