date,Alachua County,Baker County,Bay County,Bradford County,Brevard County,Broward County,Calhoun County,Charlotte County,Citrus County,Clay County,Collier County,Columbia County,DeSoto County,Dixie County,Duval County,Escambia County,Flagler County,Franklin County,Gadsden County,Gilchrist County,Glades County,Gulf County,Hamilton County,Hardee County,Hendry County,Hernando County,Highlands County,Hillsborough County,Holmes County,Indian River County,Jackson County,Jefferson County,Lafayette County,Lake County,Lee County,Leon County,Levy County,Liberty County,Madison County,Manatee County,Marion County,Martin County,Miami-Dade County,Monroe County,Nassau County,Okaloosa County,Okeechobee County,Orange County,Osceola County,Palm Beach County,Pasco County,Pinellas County,Polk County,Putnam County,St. Johns County,St. Lucie County,Santa Rosa County,Sarasota County,Seminole County,Sumter County,Suwannee County,Taylor County,Union County,Volusia County,Wakulla County,Walton County,Washington County
2018-10-03,13.0,11.1,13.0,13.0,15.0,15.9,13.0,13.0,12.0,11.1,12.0,13.0,13.0,8.9,15.9,9.9,12.0,13.0,9.9,8.9,13.0,13.0,8.9,13.0,14.0,12.0,13.0,8.9,8.0,15.0,9.9,9.9,8.9,15.9,12.0,9.9,8.9,9.9,9.9,13.0,8.9,13.0,17.1,17.1,13.0,8.0,13.0,19.0,15.0,14.0,12.0,15.0,14.0,13.0,13.0,12.0,8.0,13.0,15.9,15.9,8.9,8.9,13.0,15.0,9.9,8.9,8.9
2018-10-04,11.1,12.0,9.9,11.1,13.0,15.9,9.9,13.0,11.1,12.0,11.1,11.1,13.0,9.9,11.1,8.9,9.9,9.9,8.9,9.9,14.0,9.9,9.9,14.0,26.0,11.1,14.0,14.0,5.1,21.0,8.9,8.9,9.9,11.1,13.0,8.9,9.9,8.9,8.9,15.0,8.9,12.0,15.9,15.0,9.9,5.1,14.0,13.0,12.0,17.1,11.1,12.0,13.0,11.1,11.1,13.0,8.0,15.0,14.0,11.1,9.9,9.9,11.1,12.0,8.9,9.9,9.9
2018-10-05,7.0,8.9,11.1,7.0,14.0,12.0,11.1,11.1,9.9,8.9,11.1,7.0,11.1,7.0,8.9,12.0,9.9,11.1,8.0,7.0,8.9,11.1,7.0,8.9,9.9,9.9,8.9,7.0,6.0,15.0,8.0,8.0,7.0,8.9,8.9,8.0,7.0,8.0,8.0,11.1,6.0,11.1,13.0,12.0,11.1,6.0,8.9,13.0,11.1,14.0,9.9,11.1,12.0,9.9,9.9,17.1,8.0,11.1,12.0,8.9,7.0,7.0,7.0,12.0,8.0,9.9,9.9
2018-10-06,9.9,11.1,13.0,9.9,12.0,17.1,13.0,11.1,8.9,11.1,12.0,9.9,11.1,7.0,11.1,8.9,12.0,13.0,8.9,7.0,14.0,13.0,7.0,14.0,15.9,8.9,14.0,,8.0,12.0,8.9,8.9,7.0,14.0,14.0,8.9,7.0,8.9,8.9,12.0,8.0,13.0,15.0,15.0,9.9,8.0,14.0,15.0,12.0,15.9,8.9,11.1,12.0,11.1,11.1,11.1,8.0,12.0,15.0,14.0,7.0,7.0,9.9,15.0,8.9,8.0,8.0
2018-10-07,14.0,12.0,15.9,14.0,17.1,15.9,15.9,17.1,12.0,12.0,15.0,14.0,17.1,9.9,14.0,12.0,14.0,15.9,12.0,9.9,21.0,15.9,9.9,21.0,17.1,12.0,21.0,,8.0,14.0,12.0,12.0,9.9,15.0,15.9,12.0,9.9,12.0,12.0,15.0,9.9,15.0,18.1,14.0,15.9,8.0,21.0,19.0,14.0,18.1,12.0,13.0,15.0,19.0,19.0,15.0,8.9,15.0,18.1,15.0,9.9,9.9,14.0,19.0,12.0,11.1,11.1
2018-10-08,14.0,9.9,15.0,14.0,19.0,22.0,15.0,19.0,20.0,9.9,13.0,14.0,19.0,11.1,19.0,15.9,14.0,15.0,17.1,11.1,14.0,15.0,11.1,14.0,20.0,20.0,14.0,,12.0,20.0,17.1,17.1,11.1,22.9,13.0,17.1,11.1,17.1,17.1,19.0,6.0,18.1,20.0,18.1,20.0,12.0,14.0,24.1,17.1,24.1,20.0,14.0,15.9,26.0,26.0,20.0,14.0,19.0,18.1,22.9,11.1,11.1,14.0,20.0,17.1,14.0,14.0
2018-10-09,12.0,17.1,15.0,12.0,17.1,15.9,15.0,15.0,12.0,17.1,19.0,12.0,15.0,11.1,15.9,13.0,18.1,15.0,17.1,11.1,13.0,15.0,11.1,13.0,15.0,12.0,13.0,11.1,13.0,20.0,17.1,17.1,11.1,14.0,15.0,17.1,11.1,17.1,17.1,17.1,7.0,21.0,15.9,13.0,27.0,13.0,13.0,14.0,20.0,19.0,12.0,24.1,15.0,31.1,31.1,22.0,15.0,17.1,18.1,14.0,11.1,11.1,12.0,18.1,17.1,14.0,14.0
2018-10-10,17.1,17.1,55.0,17.1,14.0,14.0,55.0,21.0,18.1,17.1,17.1,17.1,21.0,24.1,21.0,24.1,14.0,55.0,35.9,24.1,15.0,55.0,24.1,15.0,21.0,18.1,15.0,22.0,24.1,19.0,35.9,35.9,24.1,22.9,19.0,35.9,24.1,35.9,35.9,22.9,15.9,14.0,13.0,11.1,17.1,24.1,15.0,24.1,15.9,17.1,18.1,24.1,20.0,21.0,21.0,15.0,25.1,22.9,22.9,22.9,24.1,24.1,17.1,22.9,35.9,27.0,27.0
2018-10-11,17.1,18.1,13.0,17.1,18.1,13.0,13.0,18.1,13.0,18.1,9.9,17.1,18.1,20.0,22.9,15.0,13.0,13.0,28.0,20.0,12.0,13.0,20.0,12.0,12.0,13.0,12.0,11.1,14.0,15.0,28.0,28.0,20.0,15.0,15.9,28.0,20.0,28.0,28.0,15.0,15.0,9.9,11.1,15.0,22.0,14.0,12.0,13.0,15.0,11.1,13.0,17.1,13.0,15.0,15.0,13.0,13.0,15.0,14.0,15.0,20.0,20.0,17.1,13.0,28.0,15.0,15.0
2018-10-12,11.1,9.9,11.1,11.1,9.9,11.1,11.1,8.9,11.1,9.9,8.9,11.1,8.9,11.1,9.9,11.1,8.0,11.1,8.9,11.1,8.9,11.1,11.1,8.9,11.1,11.1,8.9,7.0,8.0,8.9,8.9,8.9,11.1,8.0,9.9,8.9,11.1,8.9,8.9,12.0,8.9,8.0,8.9,12.0,8.0,8.0,8.9,8.9,8.9,9.9,11.1,11.1,12.0,11.1,11.1,9.9,12.0,12.0,12.0,8.0,11.1,11.1,11.1,9.9,8.9,9.9,9.9
