date,Alachua County,Baker County,Bay County,Bradford County,Brevard County,Broward County,Calhoun County,Charlotte County,Citrus County,Clay County,Collier County,Columbia County,DeSoto County,Dixie County,Duval County,Escambia County,Flagler County,Franklin County,Gadsden County,Gilchrist County,Glades County,Gulf County,Hamilton County,Hardee County,Hendry County,Hernando County,Highlands County,Hillsborough County,Holmes County,Indian River County,Jackson County,Jefferson County,Lafayette County,Lake County,Lee County,Leon County,Levy County,Liberty County,Madison County,Manatee County,Marion County,Martin County,Miami-Dade County,Monroe County,Nassau County,Okaloosa County,Okeechobee County,Orange County,Osceola County,Palm Beach County,Pasco County,Pinellas County,Polk County,Putnam County,St. Johns County,St. Lucie County,Santa Rosa County,Sarasota County,Seminole County,Sumter County,Suwannee County,Taylor County,Union County,Volusia County,Wakulla County,Walton County,Washington County
2018-10-03,0.01,0.07,0.01,0.01,0.0,0.2,0.01,0.0,0.02,0.07,0.0,0.01,0.0,0.0,0.07,0.0,0.04,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.12,0.02,0.0,0.44,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.05,0.01,0.01,0.01,0.0,0.05,0.0,0.01,0.01,0.02,0.0,0.09,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.0,,
2018-10-04,0.0,0.0,0.0,0.0,0.02,0.28,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.01,0.01,0.0,0.0,0.01,0.0,0.0,0.0,,0.1,0.52,0.52,0.0,0.0,0.1,0.0,,0.13,0.0,0.0,0.0,0.09,0.09,0.1,0.03,0.0,0.03,0.01,0.01,0.01,0.0,0.0,0.0,,
2018-10-05,0.0,0.0,0.0,0.0,0.57,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.09,0.43,0.0,0.09,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,,0.35,0.23,0.23,0.0,0.0,0.35,0.31,,0.03,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2018-10-07,0.0,0.0,0.0,0.0,0.0,0.24,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.14,0.0,0.0,0.0,0.0,0.14,0.0,0.03,0.06,0.0,0.2,0.0,0.0,0.0,0.14,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.32,0.0,,
2018-10-08,0.16,0.04,0.0,0.16,0.08,0.1,0.0,0.0,0.07,0.04,0.1,0.16,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.06,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.07,0.01,0.01,0.01,0.0,0.0,0.01,0.05,0.05,0.22,0.07,0.0,0.14,0.07,0.07,0.01,0.0,0.1,0.15,0.0,0.0,0.0,0.16,0.0,0.0,,
2018-10-09,0.13,0.02,0.37,0.13,0.14,0.18,0.37,0.2,0.34,0.02,0.19,0.13,0.2,0.07,0.02,0.0,0.23,0.37,0.05,0.07,0.07,0.37,0.07,0.07,0.15,0.34,0.07,0.01,0.0,0.22,0.05,0.05,0.07,0.65,0.18,0.05,0.07,0.05,0.05,0.0,0.03,0.22,0.03,0.03,0.11,0.0,0.22,0.52,0.06,0.69,0.34,0.02,0.17,0.22,0.22,0.22,0.0,0.0,0.39,0.65,0.07,0.07,0.13,0.23,0.05,,
2018-10-10,0.0,0.41,0.58,0.0,0.01,0.0,0.58,0.0,0.01,0.41,0.14,0.0,0.0,0.19,0.41,0.31,0.18,0.58,0.21,0.19,0.02,0.58,0.19,0.02,0.0,0.01,0.02,0.2,0.29,0.0,0.21,0.21,0.19,0.15,0.02,0.21,0.19,0.21,0.21,0.08,0.03,0.0,0.0,0.0,0.65,0.29,0.0,0.03,0.01,0.05,0.01,0.56,0.06,0.45,0.45,0.0,0.23,0.08,0.07,0.15,0.19,0.19,0.0,0.18,0.21,0.55,0.55
2018-10-11,0.11,0.01,2.61,0.11,0.0,0.0,2.61,0.29,0.15,0.01,0.0,0.11,0.29,0.98,0.01,0.64,0.23,2.61,3.08,0.98,0.0,2.61,0.98,0.0,1.04,0.15,0.0,0.29,2.19,0.57,3.08,3.08,0.98,0.3,0.66,3.08,0.98,3.08,3.08,0.81,0.01,0.57,0.0,0.0,0.01,2.19,0.57,0.12,0.07,0.3,0.15,0.37,0.16,0.45,0.45,0.57,1.6,0.81,0.17,0.3,0.98,0.98,0.11,0.23,3.08,1.63,1.63
2018-10-12,0.0,0.0,0.0,0.0,0.1,0.03,0.0,2.11,0.0,0.0,0.48,0.0,2.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34,0.0,0.0,0.34,0.82,0.0,0.34,0.0,0.0,,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.01,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.04,0.02,0.0,0.0,,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2018-10-13,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.01,0.01,0.0,0.0,0.0,0.0,,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2018-10-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2018-10-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2018-10-16,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.05,0.05,0.0,0.0,0.02,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.02,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
2018-10-17,0.0,0.0,0.0,0.0,0.0,0.17,0.0,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.01,0.19,0.19,0.0,0.0,0.01,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,
