date,Appling,Atkinson,Bacon,Baker,Baldwin,Banks,Barrow,Bartow,Ben Hill,Berrien,Bibb,Bleckley,Brantley,Brooks,Bryan,Bulloch,Burke,Butts,Calhoun,Camden,Candler,Carroll,Catoosa,Charlton,Chatham,Chattahoochee,Chattooga,Cherokee,Clarke,Clay,Clayton,Clinch,Cobb,Coffee,Colquitt,Columbia,Cook,Coweta,Crawford,Crisp,Dade,Dawson,DeKalb,Decatur,Dodge,Dooly,Dougherty,Douglas,Early,Echols,Effingham,Elbert,Emanuel,Evans,Fannin,Fayette,Floyd,Forsyth,Franklin,Fulton,Gilmer,Glascock,Glynn,Gordon,Grady,Greene,Gwinnett,Habersham,Hall,Hancock,Haralson,Harris,Hart,Heard,Henry,Houston,Irwin,Jackson,Jasper,Jeff Davis,Jefferson,Jenkins,Johnson,Jones,Lamar,Lanier,Laurens,Lee,Liberty,Lincoln,Long,Lowndes,Lumpkin,Macon,Madison,Marion,McDuffie,McIntosh,Meriwether,Miller,Mitchell,Monroe,Montgomery,Morgan,Murray,Muscogee,Newton,Oconee,Oglethorpe,Paulding,Peach,Pickens,Pierce,Pike,Polk,Pulaski,Putnam,Quitman,Rabun,Randolph,Richmond,Rockdale,Schley,Screven,Seminole,Spalding,Stephens,Stewart,Sumter,Talbot,Taliaferro,Tattnall,Taylor,Telfair,Terrell,Thomas,Tift,Toombs,Towns,Treutlen,Troup,Turner,Twiggs,Union,Upson,Walker,Walton,Ware,Warren,Washington,Wayne,Webster,Wheeler,White,Whitfield,Wilcox,Wilkes,Wilkinson,Worth
2018-10-03,1.2,2.6,1.2,3.1,0.3,1.0,1.1,0.8,2.6,3.2,1.4,1.4,2.0,2.4,2.1,0.4,1.9,1.4,3.1,6.4,0.4,0.3,0.5,2.0,2.1,1.6,1.6,1.0,0.9,3.1,1.7,2.0,1.7,2.6,1.8,1.9,3.2,0.3,1.4,3.1,0.5,1.0,1.2,1.2,0.5,1.4,3.1,1.7,3.1,2.4,0.4,1.3,0.5,0.4,1.1,0.6,1.6,1.0,1.3,1.2,0.5,1.1,3.5,0.5,1.8,0.1,1.2,1.0,1.0,1.4,0.8,1.6,1.3,0.3,1.7,1.4,2.6,1.0,0.3,1.2,1.1,0.1,0.5,3.5,1.4,3.2,0.5,3.1,2.1,1.1,3.5,2.4,1.1,1.4,0.9,1.6,1.1,3.5,0.3,3.1,1.1,1.4,0.5,1.1,0.5,1.6,1.1,0.9,0.9,0.8,1.4,0.5,2.0,1.4,0.8,1.4,0.3,1.6,1.1,3.1,1.9,1.1,1.6,0.1,3.1,0.6,1.0,1.6,3.1,1.4,0.1,0.5,1.4,2.6,3.1,1.8,1.8,0.5,1.1,0.5,0.3,3.1,1.4,1.1,1.4,0.5,1.1,2.0,1.1,0.5,3.5,1.6,0.5,1.1,0.5,1.4,1.3,0.5,3.1
2018-10-04,1.6,1.1,1.6,1.7,1.1,2.9,0.6,0.9,1.1,2.0,1.7,1.7,1.5,2.0,2.1,0.3,2.5,0.9,1.7,5.0,0.3,0.6,0.1,1.5,2.1,1.0,1.2,2.3,1.3,1.7,2.7,1.5,2.3,1.1,1.0,2.5,2.0,0.6,0.9,1.7,0.1,2.9,1.9,1.9,0.7,1.7,1.7,2.7,1.7,2.0,0.3,0.7,0.8,0.3,1.4,1.3,1.2,2.9,0.7,1.9,0.1,1.7,2.0,0.1,1.0,1.3,1.1,2.9,2.9,1.7,0.9,1.0,0.7,0.6,2.7,1.7,1.1,2.9,1.1,1.6,1.7,0.3,0.7,2.0,0.9,2.0,0.7,1.7,2.1,1.7,2.0,2.0,1.4,1.7,1.3,1.0,1.7,2.0,0.6,1.7,1.7,0.9,0.8,0.6,0.1,1.0,0.6,1.3,1.3,0.9,1.7,0.1,1.5,0.9,0.9,1.7,1.1,1.0,1.4,1.7,2.5,0.6,1.0,0.3,1.7,1.3,2.9,1.0,1.7,0.9,1.3,0.8,0.9,1.1,1.7,1.0,1.0,0.8,1.4,0.8,0.6,1.7,1.7,1.4,0.9,0.1,0.6,1.5,1.7,0.7,2.0,1.0,0.8,1.4,0.1,1.7,0.7,0.7,1.7
2018-10-05,1.1,0.4,1.1,1.9,0.0,3.1,1.2,0.7,0.4,1.7,0.9,0.9,1.5,1.9,2.1,1.4,2.0,0.7,1.9,3.9,1.4,0.1,0.3,1.5,2.1,1.0,0.8,2.1,1.1,1.9,4.3,1.5,2.2,0.4,0.8,2.0,1.7,0.1,0.7,1.9,0.3,3.1,1.3,1.3,0.8,0.9,1.9,4.3,1.9,1.9,1.4,1.1,1.0,1.4,1.4,1.0,0.8,3.1,1.1,1.3,0.3,1.5,1.9,0.3,0.8,0.4,1.2,3.1,3.1,0.9,0.7,1.0,1.1,0.1,4.3,0.9,0.4,3.1,0.0,1.1,1.5,0.2,0.8,1.9,0.7,1.7,0.8,1.9,2.1,1.5,1.9,1.9,1.4,0.9,1.1,1.0,1.5,1.9,0.1,1.9,1.5,0.7,1.0,1.2,0.3,1.0,1.2,1.1,1.1,0.7,0.9,0.3,1.5,0.7,0.7,0.9,0.0,1.0,1.4,1.9,2.0,1.2,1.0,0.2,1.9,1.0,3.1,1.0,1.9,0.7,0.4,1.0,0.7,0.4,1.9,0.8,0.8,1.0,1.4,1.0,0.1,1.9,0.9,1.4,0.7,0.3,1.2,1.5,1.5,0.8,1.9,1.0,1.0,1.4,0.3,0.9,1.1,0.8,1.9
2018-10-06,1.2,0.5,1.2,2.5,0.8,2.7,0.7,0.6,0.5,1.2,2.2,2.2,2.5,1.3,2.0,1.4,3.2,1.1,2.5,4.0,1.4,0.2,0.1,2.5,2.0,1.7,1.6,1.4,1.2,2.5,3.0,2.5,1.1,0.5,1.1,3.2,1.2,0.2,1.1,2.5,0.1,2.7,1.1,1.1,1.1,2.2,2.5,3.0,2.5,1.3,1.4,2.0,1.4,1.4,1.3,1.0,1.6,2.7,2.0,1.1,0.1,2.0,2.2,0.1,1.1,1.6,2.4,2.7,2.7,2.2,0.6,1.7,2.0,0.2,3.0,2.2,0.5,2.7,0.8,1.2,2.0,1.2,1.1,2.2,1.1,1.2,1.1,2.5,2.0,2.0,2.2,1.3,1.3,2.2,1.2,1.7,2.0,2.2,0.2,2.5,2.0,1.1,1.4,0.7,0.1,1.7,0.7,1.2,1.2,0.6,2.2,0.1,2.5,1.1,0.6,2.2,0.8,1.7,1.3,2.5,3.2,0.7,1.7,1.2,2.5,1.0,2.7,1.7,2.5,1.1,1.6,1.4,1.1,0.5,2.5,1.1,1.1,1.4,1.3,1.4,0.2,2.5,2.2,1.3,1.1,0.1,0.7,2.5,2.0,1.1,2.2,1.7,1.4,1.3,0.1,2.2,2.0,1.1,2.5
2018-10-07,2.5,3.7,2.5,4.0,1.7,5.3,2.4,2.6,3.7,3.4,2.5,2.5,4.1,4.2,4.2,1.9,3.5,2.6,4.0,7.6,1.9,2.4,1.7,4.1,4.2,7.2,1.9,3.7,4.7,4.0,5.0,4.1,3.3,3.7,2.0,3.5,3.4,2.4,2.6,4.0,1.7,5.3,2.0,2.0,2.6,2.5,4.0,5.0,4.0,4.2,1.9,1.8,3.6,1.9,2.8,2.6,1.9,5.3,1.8,2.0,1.7,2.9,4.1,1.7,2.0,1.6,3.6,5.3,5.3,2.5,2.6,7.2,1.8,2.4,5.0,2.5,3.7,5.3,1.7,2.5,2.9,2.2,2.6,4.1,2.6,3.4,2.6,4.0,4.2,2.9,4.1,4.2,2.8,2.5,4.7,7.2,2.9,4.1,2.4,4.0,2.9,2.6,3.6,2.4,1.7,7.2,2.4,4.7,4.7,2.6,2.5,1.7,4.1,2.6,2.6,2.5,1.7,7.2,2.8,4.0,3.5,2.4,7.2,2.2,4.0,2.6,5.3,7.2,4.0,2.6,1.6,3.6,2.6,3.7,4.0,2.0,2.0,3.6,2.8,3.6,2.4,4.0,2.5,2.8,2.6,1.7,2.4,4.1,2.9,2.6,4.1,7.2,3.6,2.8,1.7,2.5,1.8,2.6,4.0
2018-10-08,4.8,6.2,4.8,7.7,4.8,7.1,4.4,3.3,6.2,6.2,4.4,4.4,5.5,6.3,7.4,4.1,6.1,5.7,7.7,12.5,4.1,5.2,3.0,5.5,7.4,6.4,4.4,7.3,6.8,7.7,8.2,5.5,5.4,6.2,4.1,6.1,6.2,5.2,5.7,7.7,3.0,7.1,3.5,3.5,5.2,4.4,7.7,8.2,7.7,6.3,4.1,2.5,7.2,4.1,4.9,4.7,4.4,7.1,2.5,3.5,3.0,5.4,9.6,3.0,4.1,1.6,6.2,7.1,7.1,4.4,3.3,6.4,2.5,5.2,8.2,4.4,6.2,7.1,4.8,4.8,5.4,5.1,5.2,9.6,5.7,6.2,5.2,7.7,7.4,5.4,9.6,6.3,4.9,4.4,6.8,6.4,5.4,9.6,5.2,7.7,5.4,5.7,7.2,4.4,3.0,6.4,4.4,6.8,6.8,3.3,4.4,3.0,5.5,5.7,3.3,4.4,4.8,6.4,4.9,7.7,6.1,4.4,6.4,5.1,7.7,4.7,7.1,6.4,7.7,5.7,1.6,7.2,5.7,6.2,7.7,4.1,4.1,7.2,4.9,7.2,5.2,7.7,4.4,4.9,5.7,3.0,4.4,5.5,5.4,5.2,9.6,6.4,7.2,4.9,3.0,4.4,2.5,5.2,7.7
2018-10-09,5.2,7.8,5.2,10.7,7.2,9.4,6.5,5.4,7.8,8.4,7.3,7.3,6.1,7.5,8.3,4.1,8.0,7.9,10.7,14.9,4.1,8.0,6.4,6.1,8.3,10.0,6.5,9.2,7.8,10.7,11.1,6.1,9.8,7.8,4.1,8.0,8.4,8.0,7.9,10.7,6.4,9.4,5.3,5.3,6.3,7.3,10.7,11.1,10.7,7.5,4.1,3.8,8.6,4.1,8.6,8.2,6.5,9.4,3.8,5.3,6.4,6.6,10.2,6.4,4.1,2.0,8.7,9.4,9.4,7.3,5.4,10.0,3.8,8.0,11.1,7.3,7.8,9.4,7.2,5.2,6.6,6.3,6.3,10.2,7.9,8.4,6.3,10.7,8.3,6.6,10.2,7.5,8.6,7.3,7.8,10.0,6.6,10.2,8.0,10.7,6.6,7.9,8.6,6.5,6.4,10.0,6.5,7.8,7.8,5.4,7.3,6.4,6.1,7.9,5.4,7.3,7.2,10.0,8.6,10.7,8.0,6.5,10.0,6.3,10.7,8.2,9.4,10.0,10.7,7.9,2.0,8.6,7.9,7.8,10.7,4.1,4.1,8.6,8.6,8.6,8.0,10.7,7.3,8.6,7.9,6.4,6.5,6.1,6.6,6.3,10.2,10.0,8.6,8.6,6.4,7.3,3.8,6.3,10.7
2018-10-10,7.2,7.8,7.2,15.3,7.2,8.5,6.5,5.1,7.8,11.5,7.6,7.6,8.1,10.4,8.7,4.4,8.0,8.2,15.3,13.9,4.4,8.0,4.5,8.1,8.7,10.6,5.4,8.3,7.7,15.3,10.4,8.1,8.4,7.8,9.1,8.0,11.5,8.0,8.2,15.3,4.5,8.5,5.2,5.2,7.3,7.6,15.3,10.4,15.3,10.4,4.4,3.5,7.8,4.4,9.1,7.4,5.4,8.5,3.5,5.2,4.5,6.4,9.9,4.5,9.1,4.0,7.0,8.5,8.5,7.6,5.1,10.6,3.5,8.0,10.4,7.6,7.8,8.5,7.2,7.2,6.4,5.2,7.3,9.9,8.2,11.5,7.3,15.3,8.7,6.4,9.9,10.4,9.1,7.6,7.7,10.6,6.4,9.9,8.0,15.3,6.4,8.2,7.8,6.5,4.5,10.6,6.5,7.7,7.7,5.1,7.6,4.5,8.1,8.2,5.1,7.6,7.2,10.6,9.1,15.3,8.0,6.5,10.6,5.2,15.3,7.4,8.5,10.6,15.3,8.2,4.0,7.8,8.2,7.8,15.3,9.1,9.1,7.8,9.1,7.8,8.0,15.3,7.6,9.1,8.2,4.5,6.5,8.1,6.4,7.3,9.9,10.6,7.8,9.1,4.5,7.6,3.5,7.3,15.3
2018-10-15,2.1,1.5,2.1,3.1,0.4,4.9,2.7,2.2,1.5,2.7,1.6,1.6,2.0,2.1,2.8,0.9,3.1,3.7,3.1,6.5,0.9,2.3,2.7,2.0,2.8,4.5,1.7,4.8,4.0,3.1,4.9,2.0,3.6,1.5,2.0,3.1,2.7,2.3,3.7,3.1,2.7,4.9,2.2,2.2,1.1,1.6,3.1,4.9,3.1,2.1,0.9,0.5,1.6,0.9,5.4,1.6,1.7,4.9,0.5,2.2,2.7,1.1,1.3,2.7,2.0,0.7,4.2,4.9,4.9,1.6,2.2,4.5,0.5,2.3,4.9,1.6,1.5,4.9,0.4,2.1,1.1,0.8,1.1,1.3,3.7,2.7,1.1,3.1,2.8,1.1,1.3,2.1,5.4,1.6,4.0,4.5,1.1,1.3,2.3,3.1,1.1,3.7,1.6,2.7,2.7,4.5,2.7,4.0,4.0,2.2,1.6,2.7,2.0,3.7,2.2,1.6,0.4,4.5,5.4,3.1,3.1,2.7,4.5,0.8,3.1,1.6,4.9,4.5,3.1,3.7,0.7,1.6,3.7,1.5,3.1,2.0,2.0,1.6,5.4,1.6,2.3,3.1,1.6,5.4,3.7,2.7,2.7,2.0,1.1,1.1,1.3,4.5,1.6,5.4,2.7,1.6,0.5,1.1,3.1
2018-10-16,3.0,1.2,3.0,2.5,1.2,3.1,2.4,1.9,1.2,2.3,2.9,2.9,3.0,1.4,3.1,2.8,4.2,1.8,2.5,5.3,2.8,1.4,4.4,3.0,3.1,2.9,4.1,3.0,2.1,2.5,4.5,3.0,3.4,1.2,1.5,4.2,2.3,1.4,1.8,2.5,4.4,3.1,3.6,3.6,1.3,2.9,2.5,4.5,2.5,1.4,2.8,1.0,3.6,2.8,0.5,2.1,4.1,3.1,1.0,3.6,4.4,2.8,1.9,4.4,1.5,1.1,1.3,3.1,3.1,2.9,1.9,2.9,1.0,1.4,4.5,2.9,1.2,3.1,1.2,3.0,2.8,0.8,1.3,1.9,1.8,2.3,1.3,2.5,3.1,2.8,1.9,1.4,0.5,2.9,2.1,2.9,2.8,1.9,1.4,2.5,2.8,1.8,3.6,2.4,4.4,2.9,2.4,2.1,2.1,1.9,2.9,4.4,3.0,1.8,1.9,2.9,1.2,2.9,0.5,2.5,4.2,2.4,2.9,0.8,2.5,2.1,3.1,2.9,2.5,1.8,1.1,3.6,1.8,1.2,2.5,1.5,1.5,3.6,0.5,3.6,1.4,2.5,2.9,0.5,1.8,4.4,2.4,3.0,2.8,1.3,1.9,2.9,3.6,0.5,4.4,2.9,1.0,1.3,2.5
