date,Appling,Atkinson,Bacon,Baker,Baldwin,Banks,Barrow,Bartow,Ben Hill,Berrien,Bibb,Bleckley,Brantley,Brooks,Bryan,Bulloch,Burke,Butts,Calhoun,Camden,Candler,Carroll,Catoosa,Charlton,Chatham,Chattahoochee,Chattooga,Cherokee,Clarke,Clay,Clayton,Clinch,Cobb,Coffee,Colquitt,Columbia,Cook,Coweta,Crawford,Crisp,Dade,Dawson,DeKalb,Decatur,Dodge,Dooly,Dougherty,Douglas,Early,Echols,Effingham,Elbert,Emanuel,Evans,Fannin,Fayette,Floyd,Forsyth,Franklin,Fulton,Gilmer,Glascock,Glynn,Gordon,Grady,Greene,Gwinnett,Habersham,Hall,Hancock,Haralson,Harris,Hart,Heard,Henry,Houston,Irwin,Jackson,Jasper,Jeff Davis,Jefferson,Jenkins,Johnson,Jones,Lamar,Lanier,Laurens,Lee,Liberty,Lincoln,Long,Lowndes,Lumpkin,Macon,Madison,Marion,McDuffie,McIntosh,Meriwether,Miller,Mitchell,Monroe,Montgomery,Morgan,Murray,Muscogee,Newton,Oconee,Oglethorpe,Paulding,Peach,Pickens,Pierce,Pike,Polk,Pulaski,Putnam,Quitman,Rabun,Randolph,Richmond,Rockdale,Schley,Screven,Seminole,Spalding,Stephens,Stewart,Sumter,Talbot,Taliaferro,Tattnall,Taylor,Telfair,Terrell,Thomas,Tift,Toombs,Towns,Treutlen,Troup,Turner,Twiggs,Union,Upson,Walker,Walton,Ware,Warren,Washington,Wayne,Webster,Wheeler,White,Whitfield,Wilcox,Wilkes,Wilkinson,Worth
2018-10-03,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.14,0.03,0.0,0.0,0.0,0.0,0.0,1.31,0.0,0.0,0.0,1.31,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.03,0.0,,0.0,0.0,0.0,0.14,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.03,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
2018-10-04,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.01,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.01,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
2018-10-05,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
2018-10-06,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
2018-10-07,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.08,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.08,,0.0,0.0,0.0,0.08,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.08,0.0,,0.0,0.0,0.0,,,0.0,0.08,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
2018-10-08,0.01,0.01,0.01,0.0,,0.0,0.03,0.0,0.01,0.05,,,0.09,0.01,0.25,0.25,0.0,0.0,0.0,0.01,0.25,0.0,0.0,0.01,0.25,0.0,0.0,,0.0,0.0,0.0,0.05,,0.01,0.0,0.0,0.05,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.01,0.25,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.05,0.0,0.03,0.01,0.0,0.0,,0.25,0.0,0.05,,0.0,0.25,0.0,0.25,0.01,0.0,,0.0,0.0,0.0,0.09,0.0,0.0,0.0,,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.0,,,0.01,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,,0.01,0.0,0.01,0.05,0.01,0.0,0.01,0.0,0.0,,0.0,0.0,0.0,0.03,0.01,0.0,,0.01,0.0,0.01,0.0,0.0,,0.0,,0.0
2018-10-09,0.64,0.64,0.64,0.02,0.22,0.3,0.01,0.02,0.64,0.33,0.22,0.22,0.17,0.18,1.22,1.22,0.4,0.0,0.02,0.26,1.22,0.0,0.03,0.26,1.22,0.01,0.03,0.1,0.06,0.02,0.0,0.33,0.1,0.64,0.2,0.4,0.33,0.0,0.22,0.2,0.03,0.3,0.03,0.03,0.22,0.22,0.2,0.0,0.02,0.18,1.22,0.06,0.4,1.22,0.3,0.0,0.03,0.3,0.06,0.03,0.02,0.4,0.17,0.03,0.02,0.01,0.01,0.3,0.3,0.22,0.02,0.01,0.06,0.0,0.0,0.22,0.33,0.3,0.01,0.64,0.4,0.4,0.22,1.22,0.0,0.33,0.22,0.2,1.22,0.4,1.22,0.18,0.3,0.22,0.06,0.01,0.4,0.17,0.0,0.02,0.4,0.22,0.64,0.01,0.03,0.01,0.01,0.01,0.06,0.02,0.22,0.1,0.64,0.0,0.02,0.22,0.01,0.01,0.3,0.02,0.4,0.01,0.01,0.4,0.02,0.0,0.3,0.01,0.2,0.01,0.01,0.64,0.22,0.64,0.2,0.18,0.33,0.64,0.3,0.64,0.0,0.2,0.22,0.3,0.0,0.03,0.01,0.64,0.4,0.22,0.64,0.01,0.64,0.3,0.03,0.22,0.06,0.22,0.2
2018-10-10,0.08,0.08,0.08,0.39,0.87,0.25,0.11,0.03,0.08,1.44,0.87,0.87,1.26,0.14,0.58,0.58,0.08,0.25,0.39,0.67,0.58,0.25,0.07,0.67,0.58,0.05,0.07,0.05,0.17,0.39,0.2,1.44,0.05,0.08,0.01,0.08,1.44,0.25,0.87,0.01,0.07,0.25,0.12,0.12,0.87,0.87,0.01,0.2,0.39,0.14,0.58,0.17,0.08,0.58,0.25,0.25,0.07,0.25,0.17,0.12,0.03,0.08,1.26,0.07,0.39,0.03,0.02,0.25,0.25,0.87,0.03,0.05,0.17,0.25,0.2,0.87,1.44,0.25,0.11,0.08,0.08,0.08,0.87,0.58,0.25,1.44,0.87,0.01,0.58,0.08,0.58,0.14,0.25,0.87,0.17,0.05,0.08,1.26,0.25,0.39,0.08,0.87,0.08,0.03,0.07,0.05,0.11,0.03,0.17,0.03,0.87,0.05,0.08,0.25,0.03,0.87,0.03,0.05,0.25,0.39,0.08,0.11,0.05,0.08,0.39,0.25,0.25,0.05,0.01,0.05,0.03,0.08,0.87,0.08,0.01,0.14,1.44,0.08,0.25,0.08,0.25,0.01,0.87,0.25,0.25,0.07,0.11,0.08,0.08,0.87,0.08,0.05,0.08,0.25,0.07,0.87,0.17,0.87,0.01
2018-10-15,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,0.0
2018-10-16,0.0,0.0,0.0,,0.08,0.0,,0.0,0.0,,0.08,0.08,0.0,0.0,1.6,1.6,0.01,0.0,,0.0,1.6,0.0,0.0,0.0,1.6,0.0,0.0,0.01,0.0,,0.0,,0.01,0.0,0.08,0.01,,0.0,0.08,0.08,0.0,0.0,0.0,0.0,0.08,0.08,0.08,0.0,,0.0,1.6,0.0,0.01,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,,0.02,0.0,0.0,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.08,,0.0,,0.0,0.01,0.01,0.08,1.6,0.0,,0.08,0.08,1.6,0.01,1.6,0.0,0.0,0.08,0.0,0.0,0.01,0.0,0.0,,0.01,0.08,0.0,0.02,0.0,0.0,,0.02,0.0,0.0,0.08,0.01,0.0,0.0,0.0,0.08,0.02,0.0,0.0,,0.01,,0.0,0.01,,0.0,0.0,0.0,0.08,0.0,0.02,0.0,0.08,0.0,0.08,0.0,,0.0,0.0,0.0,0.0,0.08,0.08,0.0,0.0,0.0,,0.0,0.01,0.08,0.0,0.0,0.0,0.0,0.0,0.08,0.0,0.08,0.08
